"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int"
"232" "NP3" 15 "gug" 9 "c" 8 "bystander" "rt" 1068 "ungram" "hi"
"234" "NP3" 15 "gug" 7 "a" 8 "stranger" "rt" 763 "gram" "hi"
"236" "NP3" 15 "gug" 16 "b" 8 "friend" "rt" 835 "gram" "lo"
"238" "NP3" 15 "gug" 5 "c" 8 "father" "rt" 836 "ungram" "hi"
"240" "NP3" 15 "gug" 13 "c" 8 "worker" "rt" 722 "ungram" "hi"
"242" "NP3" 15 "gug" 8 "b" 8 "doctor" "rt" 692 "gram" "lo"
"244" "NP3" 15 "gug" 14 "d" 8 "spy" "rt" 747 "ungram" "lo"
"246" "NP3" 15 "gug" 4 "b" 8 "professor" "rt" 1546 "gram" "lo"
"248" "NP3" 15 "gug" 10 "d" 8 "guard" "rt" 787 "ungram" "lo"
"250" "NP3" 15 "gug" 11 "a" 8 "visitor" "rt" 740 "gram" "hi"
"252" "NP3" 15 "gug" 12 "b" 8 "teacher" "rt" 836 "gram" "lo"
"254" "NP3" 15 "gug" 6 "d" 8 "conductor" "rt" 1355 "ungram" "lo"
"256" "NP3" 15 "gug" 2 "d" 8 "sister" "rt" 4011 "ungram" "lo"
"258" "NP3" 16 "gug" 13 "d" 8 "worker" "rt" 1035 "ungram" "lo"
"260" "NP3" 16 "gug" 12 "c" 8 "teacher" "rt" 772 "ungram" "hi"
"262" "NP3" 16 "gug" 2 "a" 8 "sister" "rt" 1259 "gram" "hi"
"264" "NP3" 16 "gug" 7 "b" 8 "stranger" "rt" 907 "gram" "lo"
"266" "NP3" 16 "gug" 14 "a" 8 "spy" "rt" 2115 "gram" "hi"
"268" "NP3" 16 "gug" 6 "a" 8 "conductor" "rt" 2314 "gram" "hi"
"270" "NP3" 16 "gug" 11 "b" 8 "visitor" "rt" 963 "gram" "lo"
"272" "NP3" 16 "gug" 8 "c" 8 "doctor" "rt" 1228 "ungram" "hi"
"274" "NP3" 16 "gug" 5 "d" 8 "father" "rt" 764 "ungram" "lo"
"276" "NP3" 16 "gug" 16 "c" 8 "friend" "rt" 794 "ungram" "hi"
"278" "NP3" 16 "gug" 9 "d" 8 "bystander" "rt" 1187 "ungram" "lo"
"280" "NP3" 16 "gug" 4 "c" 8 "professor" "rt" 994 "ungram" "hi"
"282" "NP3" 16 "gug" 15 "b" 8 "peasant" "rt" 996 "gram" "lo"
"284" "NP3" 16 "gug" 1 "d" 8 "peasant" "rt" 811 "ungram" "lo"
"286" "NP3" 16 "gug" 10 "a" 8 "guard" "rt" 1059 "gram" "hi"
"288" "NP3" 16 "gug" 3 "b" 8 "foreman" "rt" 1699 "gram" "lo"
"290" "NP3" 17 "gug" 4 "d" 8 "professor" "rt" 1235 "ungram" "lo"
"292" "NP3" 17 "gug" 5 "a" 8 "father" "rt" 1731 "gram" "hi"
"294" "NP3" 17 "gug" 16 "d" 8 "friend" "rt" 1667 "ungram" "lo"
"296" "NP3" 17 "gug" 14 "b" 8 "spy" "rt" 2283 "gram" "lo"
"298" "NP3" 17 "gug" 3 "c" 8 "foreman" "rt" 1508 "ungram" "hi"
"300" "NP3" 17 "gug" 9 "a" 8 "bystander" "rt" 1538 "gram" "hi"
"302" "NP3" 17 "gug" 11 "c" 8 "visitor" "rt" 1379 "ungram" "hi"
"304" "NP3" 17 "gug" 8 "d" 8 "doctor" "rt" 1315 "ungram" "lo"
"306" "NP3" 17 "gug" 7 "c" 8 "stranger" "rt" 1059 "ungram" "hi"
"308" "NP3" 17 "gug" 10 "b" 8 "guard" "rt" 1259 "gram" "lo"
"310" "NP3" 17 "gug" 13 "a" 8 "worker" "rt" 1627 "gram" "hi"
"312" "NP3" 17 "gug" 6 "b" 8 "conductor" "rt" 1658 "gram" "lo"
"314" "NP3" 17 "gug" 2 "b" 8 "sister" "rt" 1052 "gram" "lo"
"316" "NP3" 17 "gug" 15 "c" 8 "peasant" "rt" 1355 "ungram" "hi"
"318" "NP3" 17 "gug" 1 "a" 8 "peasant" "rt" 2499 "gram" "hi"
"320" "NP3" 17 "gug" 12 "d" 8 "teacher" "rt" 1140 "ungram" "lo"
"322" "NP3" 18 "gug" 6 "c" 8 "conductor" "rt" 1754 "ungram" "hi"
"324" "NP3" 18 "gug" 5 "b" 8 "father" "rt" 731 "gram" "lo"
"326" "NP3" 18 "gug" 8 "a" 8 "doctor" "rt" 4602 "gram" "hi"
"328" "NP3" 18 "gug" 12 "a" 8 "teacher" "rt" 1012 "gram" "hi"
"330" "NP3" 18 "gug" 4 "a" 8 "professor" "rt" 1347 "gram" "hi"
"332" "NP3" 18 "gug" 10 "c" 8 "guard" "rt" 2842 "ungram" "hi"
"334" "NP3" 18 "gug" 1 "b" 8 "peasant" "rt" 787 "gram" "lo"
"336" "NP3" 18 "gug" 3 "d" 8 "foreman" "rt" 1411 "ungram" "lo"
"338" "NP3" 18 "gug" 9 "b" 8 "bystander" "rt" 2746 "gram" "lo"
"340" "NP3" 18 "gug" 7 "d" 8 "stranger" "rt" 811 "ungram" "lo"
"342" "NP3" 18 "gug" 11 "d" 8 "visitor" "rt" 876 "ungram" "lo"
"344" "NP3" 18 "gug" 13 "b" 8 "worker" "rt" 763 "gram" "lo"
"346" "NP3" 18 "gug" 16 "a" 8 "friend" "rt" 1356 "gram" "hi"
"348" "NP3" 18 "gug" 15 "d" 8 "peasant" "rt" 764 "ungram" "lo"
"350" "NP3" 18 "gug" 2 "c" 8 "sister" "rt" 659 "ungram" "hi"
"352" "NP3" 18 "gug" 14 "c" 8 "spy" "rt" 731 "ungram" "hi"
"354" "NP3" 19 "gug" 9 "c" 8 "bystander" "rt" 1763 "ungram" "hi"
"356" "NP3" 19 "gug" 10 "d" 8 "guard" "rt" 1707 "ungram" "lo"
"358" "NP3" 19 "gug" 3 "a" 8 "foreman" "rt" 820 "gram" "hi"
"360" "NP3" 19 "gug" 13 "c" 8 "worker" "rt" 1115 "ungram" "hi"
"362" "NP3" 19 "gug" 11 "a" 8 "visitor" "rt" 1283 "gram" "hi"
"364" "NP3" 19 "gug" 4 "b" 8 "professor" "rt" 2506 "gram" "lo"
"366" "NP3" 19 "gug" 5 "c" 8 "father" "rt" 4291 "ungram" "hi"
"368" "NP3" 19 "gug" 2 "d" 8 "sister" "rt" 2819 "ungram" "lo"
