"subj" "group" "sent" "pos" "condfill" "raw" "wl" "res"
"377" "s37" "sent69" "g4" "pos7" "L" 1862 5 895.495
"378" "s37" "sent71" "g4" "pos7" "J" 782 9 -403.5953
"379" "s38" "sent7" "g4" "pos7" "J" 6479 10 5252.715
"380" "s38" "sent13" "g4" "pos7" "L" 3212 5 2444.042
"381" "s38" "sent17" "g4" "pos7" "J" 506 9 -628.6194
"382" "s38" "sent27" "g4" "pos7" "L" 505 4 -171.2922
"383" "s38" "sent38" "g4" "pos7" "J" 543 10 -683.2849
"384" "s38" "sent41" "g4" "pos7" "L" 426 6 -433.6231
"385" "s38" "sent49" "g4" "pos7" "J" 373 12 -1036.616
"386" "s38" "sent53" "g4" "pos7" "L" 300 9 -834.6194
"387" "s38" "sent62" "g4" "pos7" "L" 274 9 -860.6194
"388" "s38" "sent66" "g4" "pos7" "J" 581 5 -186.9576
"389" "s38" "sent69" "g4" "pos7" "L" 281 5 -486.9576
"390" "s38" "sent71" "g4" "pos7" "J" 246 9 -888.6194
"391" "s39" "sent7" "g4" "pos7" "J" 1659 10 -44493.23
"392" "s39" "sent13" "g4" "pos7" "L" 1337 5 -742.7017
"393" "s39" "sent17" "g4" "pos7" "J" 2106 9 -35231.72
"394" "s39" "sent27" "g4" "pos7" "L" 401 4 7135.804
"395" "s39" "sent38" "g4" "pos7" "J" 940 10 -45212.23
"396" "s39" "sent41" "g4" "pos7" "L" 400 6 -10494.21
"397" "s39" "sent49" "g4" "pos7" "J" 1999 12 -61782.24
