"subj" "group" "sent" "pos" "condfill" "raw" "wl" "NminusOne" "res"
"151" "s26" "gp3" "sent9" "pos7" "J" 1269 5 3922 55.565576
"152" "s26" "gp3" "sent23" "pos7" "J" 852 8 2254 79.1671699
"153" "s26" "gp3" "sent33" "pos7" "J" 829 5 4948 -100.827481
"154" "s26" "gp3" "sent56" "pos7" "J" 457 4 1960 -66.2822646
"155" "s26" "gp3" "sent64" "pos7" "J" 270 4 1075 -71.5326685
"156" "s26" "gp3" "sent73" "pos7" "J" 468 5 5810 -84.866964
"157" "s27" "gp3" "sent9" "pos7" "J" 844 5 4298 206.2584498
"158" "s27" "gp3" "sent23" "pos7" "J" 1036 8 2889 -40.4376552
"159" "s27" "gp3" "sent33" "pos7" "J" 804 5 3252 -79.5733436
"160" "s27" "gp3" "sent56" "pos7" "J" 458 4 3241 109.9542098
"161" "s27" "gp3" "sent64" "pos7" "J" 401 4 1594 20.7165433
"162" "s27" "gp3" "sent73" "pos7" "J" 765 5 2946 3.9542098
"163" "s28" "gp3" "sent9" "pos7" "J" 1307 5 5344 1.1157966
"164" "s28" "gp3" "sent23" "pos7" "J" 548 8 4785 241.766301
"165" "s28" "gp3" "sent33" "pos7" "J" 670 5 3917 -51.784688
"166" "s28" "gp3" "sent56" "pos7" "J" 2380 4 2370 -1.9882206
"167" "s28" "gp3" "sent64" "pos7" "J" 513 4 3962 41.6408873
"168" "s28" "gp3" "sent73" "pos7" "J" 373 5 6301 -27.7559033
"169" "s29" "gp3" "sent9" "pos7" "J" 626 5 1838 -40.7935869
"170" "s29" "gp3" "sent23" "pos7" "J" 639 8 1845 -22.6183312
"171" "s29" "gp3" "sent33" "pos7" "J" 950 5 1788 -143.9980609
"172" "s29" "gp3" "sent56" "pos7" "J" 448 4 2102 147.7893816
"173" "s29" "gp3" "sent64" "pos7" "J" 336 4 1165 -71.3193811
"174" "s29" "gp3" "sent73" "pos7" "J" 415 5 1375 -74.7886188
"175" "s30" "gp3" "sent9" "pos7" "J" 893 5 4603 7.2474205
"176" "s30" "gp3" "sent23" "pos7" "J" 961 8 3501 160.3767007
"177" "s30" "gp3" "sent33" "pos7" "J" 775 5 3265 -125.5499582
"178" "s30" "gp3" "sent56" "pos7" "J" 666 4 4242 90.7987002
"179" "s30" "gp3" "sent64" "pos7" "J" 526 4 4638 -84.258474
"180" "s30" "gp3" "sent73" "pos7" "J" 689 5 3396 31.6035448
"181" "s31" "gp3" "sent9" "pos7" "J" 1339 5 2924 35.0870966
"182" "s31" "gp3" "sent23" "pos7" "J" 1063 8 3693 -246.3479546
"183" "s31" "gp3" "sent33" "pos7" "J" 553 5 2908 153.0131379
"184" "s31" "gp3" "sent56" "pos7" "J" 468 4 4245 98.7092197
"185" "s31" "gp3" "sent64" "pos7" "J" 592 4 3261 134.1523542
"186" "s31" "gp3" "sent73" "pos7" "J" 582 5 1413 93.6128908
"187" "s32" "gp3" "sent9" "pos7" "J" 513 5 2056 71.6476949
"188" "s32" "gp3" "sent23" "pos7" "J" 530 8 1814 113.831034
"189" "s32" "gp3" "sent33" "pos7" "J" 499 5 1580 -12.9477075
"190" "s32" "gp3" "sent56" "pos7" "J" 472 4 1503 -347.6388212
"191" "s32" "gp3" "sent64" "pos7" "J" 391 4 1417 24.9783338
"192" "s32" "gp3" "sent73" "pos7" "J" 468 5 1498 7.4133849
"193" "s33" "gp3" "sent9" "pos7" "J" 1425 5 4844 114.9506367
"194" "s33" "gp3" "sent23" "pos7" "J" 801 8 3046 50.9831731
"195" "s33" "gp3" "sent33" "pos7" "J" 1053 5 2663 -40.6568477
"196" "s33" "gp3" "sent56" "pos7" "J" 519 4 5626 11.2381627
"197" "s33" "gp3" "sent64" "pos7" "J" 863 4 2531 -85.6630847
"198" "s33" "gp3" "sent73" "pos7" "J" 893 5 3650 -78.264644
"199" "s34" "gp3" "sent9" "pos7" "J" 304 5 1577 56.643672
"200" "s34" "gp3" "sent23" "pos7" "J" 1121 8 1498 77.8462708
"201" "s34" "gp3" "sent33" "pos7" "J" 1274 5 1150 -54.4547687
"202" "s34" "gp3" "sent56" "pos7" "J" 432 4 758 -4.7356419
"203" "s34" "gp3" "sent64" "pos7" "J" 366 4 973 -192.4016502
"204" "s34" "gp3" "sent73" "pos7" "J" 230 5 1238 -232.1860577
"205" "s35" "gp3" "sent9" "pos7" "J" 3248 5 2194 -5.2772219
"206" "s35" "gp3" "sent23" "pos7" "J" 814 8 1502 132.2390982
