verb subject item condition rt sentencetype
V1 42  7 b 1162.0 ungram
V1 42  6 b  889.0 ungram
V1 42  3 b  808.0 ungram
V1 43  9 b  922.0 ungram
V1 43 13 b  714.0 ungram
V1 43  3 a  970.0 gram
V1 43 15 a  818.0 gram
V1 43  8 a  745.0 gram
V1 43  4 a  746.0 gram
V1 43  7 a  986.0 gram
V1 43 14 b 1057.0 ungram
V1 43  1 b  794.0 ungram
V1 43 16 a  794.0 gram
V1 43  2 b  826.0 ungram
V1 43 11 a 1161.0 gram
V1 43  5 b  698.0 ungram
V1 43 10 b  914.0 ungram
V1 43  6 b  921.0 ungram
V1 43 12 a  730.0 gram
V1 45  6 a  889.0 gram
V1 45 13 a  986.0 gram
V1 45 11 b 2177.0 ungram
V1 45  7 b  650.0 ungram
V1 45  9 a  674.0 gram
V1 45  4 b  817.0 ungram
V1 45  1 a 3601.0 gram
V1 45  3 b  594.0 ungram
V1 45 16 b  794.0 ungram
V1 45  8 b  705.0 ungram
V1 45  2 a  698.0 gram
V1 45 14 a  986.0 gram
V1 45 15 b  834.0 ungram
V1 45  5 a  626.0 gram
V1 45 12 b  682.0 ungram
V1 45 10 a  666.0 gram
V1 46 11 b  432.0 ungram
V1 46  5 a  562.0 gram
V1 46 14 b  674.0 ungram
V1 46  1 a  786.0 gram
V1 46  8 a  737.0 gram
V1 46 13 a  882.0 gram
V1 46 12 a 3482.0 gram
V1 46  9 a  874.0 gram
V1 46 15 b  810.0 ungram
V1 46  2 b  866.0 ungram
V1 46 10 b  954.0 ungram
V1 46  7 b 1002.0 ungram
V1 46 16 a  841.0 gram
V1 46  6 b 1098.0 ungram
V1 46  3 b 1146.0 ungram
V1 46  4 a 1889.0 gram
V1 47 13 b 2002.0 ungram
V1 47 15 a 4088.0 gram
V1 47  4 a 2090.0 gram
V1 47  6 b 2649.0 ungram
V1 47 14 b 1554.0 ungram
V1 47  7 a 1513.0 gram
V1 47  9 b 1073.0 ungram
V1 47  5 b 1106.0 ungram
V1 47 12 a 1594.0 gram
V1 47 16 a 1386.0 gram
V1 47  1 b 1370.0 ungram
V1 47 11 a 4049.0 gram
V1 47  2 b 2162.0 ungram
V1 47  3 a  842.0 gram
V1 47  8 a 3417.0 gram
V1 47 10 b 1434.0 ungram
V1 48  6 a  618.0 gram
V1 48 15 a 1025.0 gram
V1 48  3 a 1186.0 gram
V1 48  5 b  914.0 ungram
V1 48 16 b  938.0 ungram
V1 48  4 b  938.0 ungram
V1 48  2 a  954.0 gram
V1 48 10 a 1026.0 gram
V1 48 12 b  842.0 ungram
V1 48 11 a 1041.0 gram
V1 48  1 b  754.0 ungram
V1 48 14 a  762.0 gram
V1 48 13 b  802.0 ungram
