"subj" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"165" 1 27 "b" 4 495 1 495 495 495 495 495 1902 0 0 0 0 0 495
"166" 1 27 "b" 5 0 0 0 0 0 0 0 1902 0 0 0 0 0 0
"167" 1 27 "b" 6 302 1 0 1454 1454 1454 1454 3356 0 0 0 0 0 1454
"168" 1 27 "b" 7 0 0 0 0 0 0 0 3356 0 0 0 0 0 0
"169" 1 28 "a" 1 196 1 196 196 196 196 196 196 0 0 0 0 0 196
"170" 1 28 "a" 2 357 1 0 602 602 602 602 798 0 0 0 0 0 602
"171" 1 28 "a" 3 199 1 0 199 199 327 199 997 128 0 128 0 0 128
"172" 1 28 "a" 4 223 1 223 223 223 223 351 1348 0 0 0 1 1 223
"173" 1 28 "a" 5 0 0 0 0 0 0 0 1348 0 0 0 0 0 0
"174" 1 28 "a" 6 390 1 0 2415 2415 2415 2415 3763 0 0 0 0 0 2415
"175" 1 28 "a" 7 0 0 0 0 0 0 0 3763 0 0 0 0 0 0
"176" 1 29 "d" 1 30 1 30 30 30 30 30 30 0 0 0 0 0 30
"177" 1 29 "d" 2 408 1 0 408 408 1211 408 438 803 0 803 0 0 803
"178" 1 29 "d" 3 238 1 238 238 238 238 238 676 0 0 0 0 0 238
"179" 1 29 "d" 4 173 1 0 1996 1996 3591 1996 2672 1595 0 1595 0 0 1595
"180" 1 29 "d" 5 0 0 0 0 0 0 0 2672 0 0 0 0 0 0
"181" 1 29 "d" 6 0 0 0 0 0 0 0 2672 0 0 0 0 0 0
"182" 1 29 "d" 7 257 1 0 736 1698 1698 4096 6768 962 962 0 1 1 962
"183" 1 30 "c" 1 191 1 191 191 191 191 191 191 0 0 0 0 0 191
"184" 1 30 "c" 2 205 1 205 205 205 205 205 396 0 0 0 0 0 205
"185" 1 30 "c" 3 310 1 0 519 519 519 519 915 0 0 0 0 0 519
"186" 1 30 "c" 4 276 1 0 491 491 491 491 1406 0 0 0 0 0 491
"187" 1 30 "c" 5 0 0 0 0 0 0 0 1406 0 0 0 0 0 0
"188" 1 30 "c" 6 599 1 0 1820 1820 1820 1820 3226 0 0 0 0 0 1820
"189" 1 30 "c" 7 0 0 0 0 0 0 0 3226 0 0 0 0 0 0
"190" 1 31 "b" 1 203 1 203 203 203 203 203 203 0 0 0 0 0 203
"191" 1 31 "b" 2 556 1 0 1310 1310 1310 1310 1513 0 0 0 0 0 1310
"192" 1 31 "b" 3 305 1 0 1143 1143 1143 1143 2656 0 0 0 0 0 1143
"193" 1 31 "b" 4 342 1 342 342 342 342 342 2998 0 0 0 0 0 342
"194" 1 31 "b" 5 0 0 0 0 0 0 0 2998 0 0 0 0 0 0
"195" 1 31 "b" 6 413 1 0 1913 1913 1913 1913 4911 0 0 0 0 0 1913
"196" 1 31 "b" 7 0 0 0 0 0 0 0 4911 0 0 0 0 0 0
"197" 1 33 "a" 1 48 1 48 48 48 48 48 48 0 0 0 0 0 48
"198" 1 33 "a" 2 144 1 0 234 234 234 234 282 0 0 0 0 0 234
"199" 1 33 "a" 3 268 1 0 1217 1217 1217 1217 1499 0 0 0 0 0 1217
"200" 1 33 "a" 4 257 1 257 257 257 257 257 1756 0 0 0 0 0 257
"201" 1 33 "a" 5 0 0 0 0 0 0 0 1756 0 0 0 0 0 0
"202" 1 33 "a" 6 290 1 0 1819 1819 1819 1819 3575 0 0 0 0 0 1819
"203" 1 33 "a" 7 0 0 0 0 0 0 0 3575 0 0 0 0 0 0
"204" 1 34 "d" 1 33 1 0 465 465 465 465 465 0 0 0 0 0 465
"205" 1 34 "d" 2 0 0 0 0 0 0 0 465 0 0 0 0 0 0
"206" 1 34 "d" 3 206 1 0 907 907 907 907 1372 0 0 0 0 0 907
"207" 1 34 "d" 4 545 1 545 545 545 545 545 1917 0 0 0 0 0 545
"208" 1 34 "d" 5 0 0 0 0 0 0 0 1917 0 0 0 0 0 0
"209" 1 34 "d" 6 240 1 0 3768 3768 3768 3768 5685 0 0 0 0 0 3768
"210" 1 34 "d" 7 0 0 0 0 0 0 0 5685 0 0 0 0 0 0
"211" 1 35 "c" 1 201 1 201 201 201 201 201 201 0 0 0 0 0 201
"212" 1 35 "c" 2 211 1 211 211 211 211 211 412 0 0 0 0 0 211
"213" 1 35 "c" 3 308 1 0 557 557 557 557 969 0 0 0 0 0 557
"214" 1 35 "c" 4 420 1 420 420 420 420 420 1389 0 0 0 0 0 420
"215" 1 35 "c" 5 0 0 0 0 0 0 0 1389 0 0 0 0 0 0
"216" 1 35 "c" 6 279 1 0 2441 2441 2441 2441 3830 0 0 0 0 0 2441
"217" 1 35 "c" 7 0 0 0 0 0 0 0 3830 0 0 0 0 0 0
"218" 1 36 "b" 1 188 1 188 188 188 188 188 188 0 0 0 0 0 188
"219" 1 36 "b" 2 149 1 149 149 149 149 149 337 0 0 0 0 0 149
"220" 1 36 "b" 3 303 1 0 1142 1142 1142 1142 1479 0 0 0 0 0 1142
"221" 1 36 "b" 4 0 0 0 0 0 0 0 1479 0 0 0 0 0 0
"222" 1 36 "b" 5 0 0 0 0 0 0 0 1479 0 0 0 0 0 0
"223" 1 36 "b" 6 234 1 0 733 733 733 733 2212 0 0 0 0 0 733
"224" 1 36 "b" 7 0 0 0 0 0 0 0 2212 0 0 0 0 0 0
"225" 2 1 "d" 1 75 1 0 522 522 522 522 522 0 0 0 0 0 522
"226" 2 1 "d" 2 194 1 194 194 194 194 194 716 0 0 0 0 0 194
"227" 2 1 "d" 3 302 1 0 1509 1509 1509 1509 2225 0 0 0 0 0 1509
"228" 2 1 "d" 4 0 0 0 0 0 0 0 2225 0 0 0 0 0 0
"229" 2 1 "d" 5 199 1 199 199 199 199 199 2424 0 0 0 0 0 199
"230" 2 1 "d" 6 182 1 0 631 631 631 631 3055 0 0 0 0 0 631
"231" 2 1 "d" 7 0 0 0 0 0 0 0 3055 0 0 0 0 0 0
"232" 2 2 "c" 1 87 1 0 247 247 247 247 247 0 0 0 0 0 247
"233" 2 2 "c" 2 235 1 235 235 235 235 235 482 0 0 0 0 0 235
"234" 2 2 "c" 3 197 1 0 326 326 326 326 808 0 0 0 0 0 326
"235" 2 2 "c" 4 243 1 243 243 243 243 243 1051 0 0 0 0 0 243
"236" 2 2 "c" 5 0 0 0 0 0 0 0 1051 0 0 0 0 0 0
"237" 2 2 "c" 6 253 1 0 688 688 688 688 1739 0 0 0 0 0 688
"238" 2 2 "c" 7 0 0 0 0 0 0 0 1739 0 0 0 0 0 0
"239" 2 3 "b" 1 182 1 0 812 812 1008 812 812 196 0 196 0 0 196
"240" 2 3 "b" 2 328 1 0 328 611 611 807 1619 283 283 0 1 1 283
"241" 2 3 "b" 3 185 1 0 1345 1345 1345 1345 2964 0 0 0 0 0 1345
"242" 2 3 "b" 4 238 1 238 238 238 238 238 3202 0 0 0 0 0 238
"243" 2 3 "b" 5 0 0 0 0 0 0 0 3202 0 0 0 0 0 0
"244" 2 3 "b" 6 278 1 0 2230 2230 2230 2230 5432 0 0 0 0 0 2230
"245" 2 3 "b" 7 0 0 0 0 0 0 0 5432 0 0 0 0 0 0
