"subject" "trial" "experiment" "item" "condition" "accuracy" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "FPRC" "TRC" "LPRT"
2 9 "gug" 6 "c" 1 9 444 1 0 444 880 1284 1120 2804 840 436 404 1 2 212
2 9 "gug" 6 "c" 1 10 188 1 0 188 188 428 188 2992 240 0 240 0 1 156
2 9 "gug" 6 "c" 1 11 176 1 0 176 176 700 176 3168 524 0 524 0 1 148
2 9 "gug" 6 "c" 1 12 0 0 148 148 148 148 532 3700 0 0 0 1 1 148
2 9 "gug" 6 "c" 1 13 172 1 172 172 172 172 3624 7324 0 0 0 1 1 172
2 9 "gug" 6 "c" 1 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 9 "gug" 6 "c" 1 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 15 "gug" 5 "b" 0 1 172 1 0 172 172 460 172 172 288 0 288 0 0 288
2 15 "gug" 5 "b" 0 2 208 1 0 208 208 964 208 380 756 0 756 0 0 312
2 15 "gug" 5 "b" 0 3 124 1 0 124 344 732 568 948 608 220 388 1 2 188
2 15 "gug" 5 "b" 0 4 72 1 0 72 684 684 1604 2552 612 612 0 2 2 248
2 15 "gug" 5 "b" 0 5 284 1 0 536 536 536 536 3088 0 0 0 0 0 536
2 15 "gug" 5 "b" 0 9 244 1 0 436 436 612 436 3524 176 0 176 0 0 176
2 15 "gug" 5 "b" 0 10 192 1 0 192 192 692 192 3716 500 0 500 0 1 200
2 15 "gug" 5 "b" 0 11 184 1 0 184 184 624 184 3900 440 0 440 0 1 140
2 15 "gug" 5 "b" 0 12 148 1 148 148 148 148 1124 5024 0 0 0 1 1 148
2 15 "gug" 5 "b" 0 13 164 1 164 164 164 164 164 5188 0 0 0 0 0 164
2 15 "gug" 5 "b" 0 14 112 1 112 112 112 112 540 5728 0 0 0 1 1 112
2 15 "gug" 5 "b" 0 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2 19 "gug" 2 "c" 1 1 168 1 0 168 168 384 168 168 216 0 216 0 0 216
2 19 "gug" 2 "c" 1 2 288 1 0 288 288 652 288 456 364 0 364 0 0 136
2 19 "gug" 2 "c" 1 3 192 1 0 448 448 1412 448 904 964 0 964 0 3 200
2 19 "gug" 2 "c" 1 4 340 1 0 340 568 756 944 1848 416 228 188 1 1 188
