utt	subject	gender	StartTime	EndTime	Item	WorldBet	TargetConsonant	TargetVowel	Burst	VOT	VowelEnd	Notes	msVOT	msVowel	logVOT	logVowel
s9gt11mw_marw111	s9gt11mw	m	101.557497184525	102.514023792033	dnga5	dan4.gao1	d	a	101.760797493112	101.776538710722	101.854469387755	NA	15.7412176100138	93.6718946427249	2.7562825976856	4.53979819379907
s9gt11mw_marw112	s9gt11mw	m	14.3981173096088	15.429916182188	ditu4	di4.tu2	d	i	14.5991376647083	14.6209392987964	14.7301223296336	mb @ 14.6098	21.8016340881722	130.984664925338	3.08198492515885	4.87508025471026
s9gt11mw_marw112	s9gt11mw	m	28.6369417512017	29.565560736523	dnhe5	dun1.zhe	d	u	28.8603675359474	28.8759580498866	28.9915952800873	mb @ 28.8663	15.5905139392551	131.227744139977	2.74666264848239	4.87693431863606
s9gt11mw_marw112	s9gt11mw	m	33.1918953166485	34.1549075977224	tudo3	tu3.dou4	t	u	33.3473153990464	33.4150583090379	33.5309909297052	mb? @ 33.3495	67.7429099915088	183.675530658817	4.21571980471184	5.21317078062054
s9gt11mw_marw112	s9gt11mw	m	40.5176673119608	41.5838594802926	kahe5	ka3.che1	k	a	40.7219166108368	40.7764600655077	40.8901549508692	mb? @ 40.7320	54.5434546709203	168.238340032467	3.99899771737916	5.12538166468188
s9gt11mw_marw112	s9gt11mw	m	45.2639421258251	46.2957409984043	tazi4	tao1.zi	t	a	45.5569978117394	45.6124550845979	45.7943068439497	mb @ 45.5616	55.4572728585683	237.309032210327	4.01561286585505	5.46936322512919
s9gt11mw_marw112	s9gt11mw	m	56.95114221182	57.9829410843992	gaol3	gao1.lou2	g	a	57.1957822414304	57.2206009070295	57.3569195883482	NA	24.8186655991205	161.137346917798	3.21159601520146	5.08225708775898
s9gt11mw_marw112	s9gt11mw	m	71.946619159971	72.909631441045	daxn3	da4.xiang4	d	a	72.2011934562836	72.2190071266602	72.3648412698413	NA	17.8136703766114	163.647813557688	2.87996616122399	5.0977166403794
s9gt11mw_marw112	s9gt11mw	m	78.8820226923458	80.0170014521829	knle3	kun4.le	k	u	79.200452858995	79.2711632653061	79.3340754151123	mb @ 79.2126	70.7104063111643	133.622556117317	4.25859275176234	4.89501908006527
s9gt11mw_marw112	s9gt11mw	m	83.3875444359416	84.1785902382523	gnzi4	gun4.zi	g	u	83.6653151215409	83.6919648526077	83.7777244340359	mb @ 83.6771	26.6497310668399	112.409312495046	3.28277905926037	4.72214678540702
s9gt11mw_marw112	s9gt11mw	m	102.991723014946	104.195488366289	tizi5	ti1.zi	t	i	103.203602309053	103.280898359344	103.435346614836	NA	77.2960502907267	231.744305783408	4.34764285843706	5.44563463363022
s9gt12mw_marw121	s9gt12mw	m	16.5602326581159	17.711520981105	tnzi4	ting2.zi	t	i	16.9785370546672	17.0274172335601	17.1175137674117	NA	48.8801788929223	138.976712744554	3.88937197469548	4.93430638488343
s9gt12mw_marw121	s9gt12mw	m	25.8814773843413	27.2420908569649	gnzi4	gun4.zi	g	u	26.2703579871277	26.2881330309902	26.4140670553936	NA	17.7750438624678	143.709068265881	2.87779544333564	4.9677908966324
s9gt12mw_marw121	s9gt12mw	m	29.5446675029432	30.5564057261761	tazi4	tao1.zi	t	a	29.824261504608	29.9120342522974	30.1581519274376	NA	87.7727476893995	333.890422829629	4.47475106167856	5.81081286378781
s9gt12mw_marw121	s9gt12mw	m	45.3238968485497	46.2396943782001	dnga5	dan4.gao1	d	a	45.6073025094018	45.61440287226	45.726247746962	some background noise here @ 45.5336	7.10036285819626	118.945237560212	1.96014588952957	4.77866319862262
s9gt12mw_marw121	s9gt12mw	m	58.2763225775285	59.2357295133528	tudo3	tu3.dou4	t	u	58.5179875595729	58.6056519274376	58.7411300075586	NA	87.6643678647042	223.142447985637	4.47351552109023	5.40781034773154
s9gt12mw_marw121	s9gt12mw	m	61.1719871474709	62.0965065583561	knle3	kun4.le	k	u	61.4749718085974	61.5407439386011	61.6118006907745	NA	65.7721300036371	136.828882177056	4.18619619243029	4.91873110992954
s9gt12mw_marw121	s9gt12mw	m	63.8757703302485	64.8177335036033	duzi4	du4.zi	d	u	64.1966814352992	64.2109997332266	64.423231292517	NA	14.318297927403	226.54985721779	2.66153829464989	5.42296504086704
s9gt12mw_marw121	s9gt12mw	m	93.7914639993288	94.8380897475007	ditu4	di4.tu2	d	i	94.120335413993	94.1409267755555	94.2548299319728	NA	20.5913615625093	134.494517979817	3.02487164622149	4.90152343969687
s9gt12mw_marw121	s9gt12mw	m	99.3155526046834	100.056912509639	knbn4	kan4.bing4	k	a	99.3985644505571	99.4529818594104	99.5662260015117	mb @ 99.4031	54.4174088533254	167.661550954605	3.99668411835393	5.12194736976102
s9gt12mw_marw121	s9gt12mw	m	108.941890306624	110.162953679491	gnbi5	gang1.bi3	g	a	109.456761900592	109.473336821908	109.572934121017	NA	16.5749213161632	116.172220424758	2.80789078892118	4.75507374892418
s9gt12mw_marw122	s9gt12mw	m	11.1845272067696	12.2265348125188	tnka3	tang2.kuai4	t	a	11.3417680045118	11.4202575315841	11.5217743764172	mb @ 11.3508	78.4895270723034	180.006371905474	4.36296520279637	5.19299224973852
s9gt12mw_marw122	s9gt12mw	m	22.3052538796375	23.1104415749891	kuzi5	ku4.zi	k	u	22.5772419978527	22.6550816326531	22.845022675737	NA	77.8396348003731	267.780677884272	4.35465074619631	5.59016827936305
s9gt12mw_marw122	s9gt12mw	m	38.9217188192382	39.6037601611831	tizi5	ti1.zi	t	i	39.1077351233616	39.1872474174855	39.3320332577475	NA	79.5122941239228	224.298134385954	4.37591165277249	5.41297612399694
s9gt12mw_marw122	s9gt12mw	m	43.5809121070222	44.281899041799	dnzi3	ding1.zi	d	i	43.7559127844138	43.7797052154195	43.8851068999028	NA	23.7924310057451	129.194115489064	3.16936750512807	4.86131604456098
s9gt12mw_marw122	s9gt12mw	m	61.4364553924562	62.131436793883	tuzi5	tu4.zi	t	u	61.5785279235161	61.6517876039305	61.7974943310658	NA	73.2596804143526	218.966407549651	4.2940103949927	5.38891832786678
