utt	subject	gender	StartTime	EndTime	Item	WorldBet	TargetConsonant	TargetVowel	Burst	VOT	VowelEnd	Notes	msVOT	msVowel	logVOT	logVowel	vOff	vOn
e9gt06mw_enrw211	e9gt06mw	m	23.979643300517	24.6485074259614	tste2	thest	th	e	24.0092831056821	24.1064517179421	24.3248462613557	NA	97.1686122599884	315.563155673608	4.57644774018086	5.75435883841015	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	26.8624476811826	27.3774730577748	dign3	dI.gIxN	d	I	26.8875413527043	26.9087873146515	27.016884499449	NA	21.2459619472583	129.343146744791	3.05616685130182	4.86246892496937	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	31.9130972652401	32.347858946779	carx5	khA9	kh	A	31.93329633996	31.9845804988662	32.1103815386839	NA	51.284158906217	177.085198723947	3.93738191123914	5.17663096548556	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	36.6605773816105	37.2358005294927	cpid3	kjhu.pIxd	kjh	u	36.708813221447	36.7984395313681	36.8881524716553	NA	89.6263099210586	179.33925020828	4.49564891438964	5.18927926467586	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	38.9815358969028	39.4229862196961	tuth5	thuT	th	u	39.03139207683	39.0829028681069	39.2371023024594	NA	51.510791276911	205.710225629403	3.94179132507688	5.32646850679623	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	41.5051874535225	42.1606742964581	gglz2	gI.g&lz	g	I	41.5991585342368	41.5326729024943	41.7167571312809	pre-voicing @ 41.5327	-66.4856317424594	117.59859704415	-4.19698586029345	4.76727710549668	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	46.5407152660814	47.0490520014192	taco5	thA.ko	th	A	46.569470998816	46.6243533215755	46.7432005423336	NA	54.8823227595463	173.729543517652	4.00519130685774	5.15749974236337	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	48.7680328038115	49.2696808978948	qwel5	kwhe.&l	kwh	e	48.8456887831624	48.9097275927915	49.077704688152	NA	64.0388096290749	232.015904989581	4.15948930002751	5.44680592530603	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	51.1744884811262	51.6560706514462	qwil3	kwhIl	kwh	I	51.2107946189503	51.2848797200039	51.4299887635436	NA	74.0851010536332	219.194144593274	4.30521444668262	5.38995784209515	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	55.8153863627978	56.3705435869167	cave2	khev	kh	e	55.8650615912016	55.9197552354275	56.201382952131	NA	54.693644225928	336.321360929411	4.0017475093667	5.81806713421171	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	61.0586981764919	61.5871008355931	toad5	thod	th	o	61.099018482493	61.1637913100724	61.4277895602686	NA	64.7728275793966	328.771077775535	4.17088618793743	5.79536169634327	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	63.3997226155476	63.8946820683765	kchp4	khE.tS&p	kh	E	63.4357832911032	63.486431292517	63.5653159486017	NA	50.6480014137836	129.532657498444	3.92489977115573	4.86393303080236	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	65.6203515120232	66.1019336823432	dove4	d^v	d	^	65.676500700978	65.6827273612767	65.9467907785336	NA	6.22666029867958	270.290077555615	1.82884012143606	5.59949574360237	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	71.1124514188741	71.7545609793007	domz5	domz	d	o	71.1477240790313	71.1551310153691	71.4100431468884	NA	7.40693633777312	262.31906785705	2.00241690412087	5.56956157907266	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	76.2433646979849	76.7450127920683	ckng3	khUk.IxN	kh	U	76.2755350039047	76.3191773072866	76.399503291195	NA	43.6423033818301	123.96828729031	3.77602694100713	4.82002578523724	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	81.2342526329998	81.8094757808821	duel3	dul	d	u	81.2642732935005	81.2761867970146	81.4441696609054	NA	11.9135035141227	179.896367404936	2.47767250586232	5.19238094845099	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	86.2037662775091	86.7388575778647	qwlt4	kwhIlt	kwh	I	86.2198332500555	86.309693877551	86.435674372313	NA	89.860627495483	215.841122257487	4.49825988665216	5.37454259193392	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	88.4845929452748	89.0932592994292	dngr5	den.dZ&r	d	e	88.5124311477108	88.5263351332751	88.6726893864342	NA	13.9039855643119	160.258238723387	2.63217553028256	5.07678650616964	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	100.996419601599	101.605085955754	dtch4	dItS	d	I	101.045276333956	101.060942110484	101.239551889292	NA	15.6657765280954	194.275555335949	2.75147849407217	5.26927753959566	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	107.491379574369	108.079980004761	grdn5	gA9.dIxn	g	A	107.525612089296	107.550099653897	107.670853484406	NA	24.4875646005909	145.241395110205	3.19816542137196	4.97839715205085	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	113.505193499067	113.919889256843	duke4	duk	d	u	113.545533079133	113.552802729844	113.739067096924	NA	7.26965071096686	193.534017791663	1.98370824513219	5.26545329955927	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	116.153895435827	116.642166247402	dnky3	dAn.ki	d	A	116.17817911292	116.186417510093	116.343702515927	no real [\ng] closure @ 116.3437	8.23839717338615	165.523403006929	2.1088058072074	5.10911259271682	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	127.701249481644	128.269783988272	coat5	khot	kh	o	127.747813990852	127.829074995852	127.988925987629	NA	81.2610050004992	241.111996777107	4.39766625819783	5.48526154246065	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	130.637562992346	131.192720216465	gvng4	gI.vIxN	g	I	130.780218815333	130.790118695754	130.903234515657	NA	9.89988042098844	123.015700323691	2.29252267837956	4.81231199213456	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	137.59214791514	138.160682421767	keyx5	khi	kh	i	137.662076804899	137.72578319744	138.043310333657	NA	63.7063925404391	381.233528758003	4.15428491139605	5.94341212373064	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	141.187873369003	141.736341951868	cugr4	khu.g&r	kh	u	141.228249074892	141.289097299526	141.416497744488	NA	60.8482246335313	188.248669595509	4.10838264289503	5.2377637994333	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	152.17032859684	152.705419897196	twin3	twhIn	twh	I	152.228833829111	152.301900486971	152.520311587239	NA	73.0666578600108	291.477758128053	4.29137214587669	5.67496370143194	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	169.225923373045	169.861344292217	cute4	kjhut	kjh	u	169.258885505611	169.380776802089	169.554627210884	NA	121.89129647777	295.741705273429	4.80312963506839	5.68948645605244	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	179.423190937502	180.152252834237	twst4	twhI.stIxd	twh	I	179.449608665123	179.503735479294	179.620772683503	NA	54.1268141715818	171.164018380068	3.99132970394258	5.14262226860458	NA	NA
e9gt06mw_enrw211	e9gt06mw	m	182.961482161104	183.54339395024	tchr5	thi.tS&r	th	i	182.998877791869	183.051175122827	183.135961451247	NA	52.2973309575718	137.083659377851	3.95694533645261	4.92059139184889	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	17.6389580255371	18.1673606846382	kikn3	khI.kIxN	kh	I	17.6880250278614	17.7343046107332	17.7982788186659	NA	46.2795828717333	110.253790804443	3.83470088914167	4.70278489744961	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	22.2664784424304	22.8149470252949	tost3	thost	th	o	22.2851857757069	22.3244811084607	22.5066693550272	NA	39.2953327538237	221.48357932036	3.67110575237806	5.40034845274327	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	28.6013469157527	29.1096836510905	dude5	dud	d	u	28.6305568671113	28.63424311823	28.931100144976	NA	3.68625111877208	300.543277864769	1.304609984646	5.70559176312215	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	31.6580559690339	32.1128835743361	qwek3	kwhek	kwh	e	31.6791214699671	31.7509376723662	31.9374468199978	NA	71.816202399102	258.325350030699	4.27411011075138	5.55421983710075	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	37.9724224099683	38.4540045802883	tube3	thub	th	u	38.006409357324	38.0673247258087	38.3199208238851	NA	60.9153684846717	313.511466561096	4.10948549894956	5.74783593535655	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	40.9763475385772	41.5047501976783	golf3	gAlf	g	A	41.0848575053	41.0341221250405	41.2978923732094	pre-voicing @ 41.0341 ::: [l] vocalized to nothing @ 41.2979	-50.7353802594892	213.034867909464	-3.92662350271605	5.36145585141765	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	44.0900544888432	44.5448820941454	cutx4	kh^.tIxN	kh	^	44.1088851419945	44.163496031746	44.2800499773243	NA	54.610889751558	171.16483532979	4.00023330886338	5.14262704149891	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	50.9636500413561	51.4184776466584	tnge4	th^N	th	^	51.0027809067286	51.0483687641723	51.2300160997732	NA	45.5878574437421	227.235193044649	3.81964139693196	5.42598557381551	NA	NA
e9gt06mw_enrw212	e9gt06mw	m	53.7263479761805	54.1677982989738	cuki5	khU.ki	kh	U	53.752100796781	53.7921197535618	53.864690762752	NA	40.0189567808269	112.589965971011	3.68935326137022	4.72375259957689	NA	NA
