Pre-test LatSq-list subj-ID item-ID cond verb
1 2 S-A-E 16 c hedie-dadan
1 2 SH-H 16 c hedie-dadan
1 2 D-KH 16 c hedie-kardan
1 2 M-CH 16 c hedie-kardan
1 1 A 16 d dadan
1 1 H 16 d dadan
1 1 K-V 16 d dadan
1 1 R- 16 d dadan
1 1 H-CH 16 d hedie-dadan
1 1 M 16 d hedie-dadan
1 1 M-V 16 d hedie-dadan
1 1 R-G 16 d hedie-kardan
1 1 A 17 a dadan
1 1 H-CH 17 a dadan
1 1 R-G 17 a dashtan
1 1 H 17 a kardan
1 1 K-V 17 a kardan
1 1 M 17 a kardan
1 1 M-V 17 a kardan
1 1 R- 17 a kardan
1 4 V 17 b gushzad-kardan
1 4 A-GH 17 b kardan
1 4 H 17 b kardan
1 4 M 17 b kardan
1 4 M2 17 b kardan
1 4 N 17 b kardan
1 4 R 17 b kardan
1 4 SM-M 17 b kardan
1 3 B-N 17 c amukhtan
1 3 S-GH- 17 c amukhtan
1 3 M-Z 17 c dadan
1 3 N-KH 17 c dadan
1 3 S-GH2 17 c dadan
1 3 S-R 17 c dadan
1 3 ZH-Z 17 c dadan
1 3 M-A 17 c yad-dadan
1 2 S 17 d amukhtan
1 2 S-A- 17 d amukhtan
1 2 T-D 17 d amukhtan
1 2 D-KH 17 d dadan
1 2 M-CH 17 d dadan
1 2 N 17 d dadan
1 2 SH-H 17 d dadan
1 2 S-A-E 17 d yad-dadan
1 2 D-KH 18 a kardan
1 2 M-CH 18 a kardan
1 2 N 18 a kardan
1 2 S 18 a kardan
1 2 S-A- 18 a kardan
1 2 S-A-E 18 a kardan
1 2 SH-H 18 a kardan
1 2 T-D 18 a kardan
1 1 K-V 18 b dadan
1 1 A 18 b kardan
1 1 H 18 b kardan
1 1 H-CH 18 b kardan
1 1 M 18 b kardan
1 1 M-V 18 b kardan
1 1 R- 18 b kardan
1 1 R-G 18 b kardan
1 4 M 18 c goftan
1 4 M2 18 c goftan
1 4 R 18 c goftan
1 4 SM-M 18 c goftan
1 4 V 18 c goftan
1 4 A-GH 18 c gushzad-kardan
1 4 H 18 c gushzad-kardan
1 4 N 18 c yad-dadan
1 3 S-GH- 18 d amukhtan
1 3 ZH-Z 18 d goftan
1 3 S-GH2 18 d gushzad-kardan
1 3 N-KH 18 d montaghel-kardan
1 3 M-A 18 d motezaker-shodan
1 3 M-Z 18 d yad-dadan
1 3 B-N 18 d yadavari-kardan
1 3 S-R 18 d yadavari-kardan
1 3 B-N 19 a dadan
1 3 M-A 19 a dadan
1 3 M-Z 19 a dadan
1 3 N-KH 19 a dadan
1 3 S-GH- 19 a dadan
1 3 S-R 19 a dadan
1 3 ZH-Z 19 a dadan
1 3 S-GH2 19 a kardan
1 2 D-KH 19 b dadan
1 2 M-CH 19 b dadan
1 2 N 19 b dadan
1 2 S 19 b dadan
1 2 S-A- 19 b dadan
1 2 S-A-E 19 b dadan
1 2 T-D 19 b dadan
1 2 SH-H 19 b goftan
