"subject" "item" "condition" "rt" "correct" "roi" "expt"
"341" "e2_26" 24 "a" 394 1 "RCNP" "e2"
"342" "e2_38" 24 "a" 422 1 "RCNP" "e2"
"343" "e2_58" 24 "a" 464 1 "RCNP" "e2"
"344" "e2_54" 24 "a" 482 1 "RCNP" "e2"
"345" "e2_50" 24 "a" 493 1 "RCNP" "e2"
"346" "e2_10" 24 "a" 522 1 "RCNP" "e2"
"347" "e2_34" 24 "a" 672 1 "RCNP" "e2"
"348" "e2_2" 24 "a" 1982 1 "RCNP" "e2"
"349" "e2_30" 1 "b" 247 1 NA "e2"
"350" "e2_14" 1 "b" 289 1 NA "e2"
"351" "e2_22" 1 "b" 292 1 NA "e2"
"352" "e2_6" 1 "b" 398 1 NA "e2"
"353" "e2_54" 1 "b" 403 1 NA "e2"
"354" "e2_2" 1 "b" 411 1 NA "e2"
"355" "e2_58" 1 "b" 432 1 NA "e2"
"356" "e2_42" 1 "b" 442 1 NA "e2"
"357" "e2_10" 1 "b" 444 1 NA "e2"
"358" "e2_34" 1 "b" 458 1 NA "e2"
"359" "e2_46" 1 "b" 459 1 NA "e2"
"360" "e2_50" 1 "b" 463 1 NA "e2"
"361" "e2_38" 1 "b" 475 1 NA "e2"
"362" "e2_26" 1 "b" 481 1 NA "e2"
"363" "e2_18" 1 "b" 492 1 NA "e2"
"364" "e2_29" 2 "b" 245 1 NA "e2"
"365" "e2_41" 2 "b" 283 1 NA "e2"
"366" "e2_49" 2 "b" 340 1 NA "e2"
"367" "e2_37" 2 "b" 362 1 NA "e2"
"368" "e2_5" 2 "b" 367 1 NA "e2"
"369" "e2_13" 2 "b" 373 1 NA "e2"
"370" "e2_21" 2 "b" 380 1 NA "e2"
"371" "e2_53" 2 "b" 393 1 NA "e2"
"372" "e2_33" 2 "b" 407 1 NA "e2"
"373" "e2_9" 2 "b" 438 1 NA "e2"
"374" "e2_57" 2 "b" 445 1 NA "e2"
"375" "e2_17" 2 "b" 475 1 NA "e2"
"376" "e2_25" 2 "b" 478 1 NA "e2"
"377" "e2_45" 2 "b" 714 1 NA "e2"
"378" "e2_40" 3 "b" 228 1 NA "e2"
"379" "e2_16" 3 "b" 229 1 NA "e2"
"380" "e2_48" 3 "b" 240 1 NA "e2"
"381" "e2_28" 3 "b" 380 1 NA "e2"
"382" "e2_8" 3 "b" 406 1 NA "e2"
"383" "e2_60" 3 "b" 414 1 NA "e2"
"384" "e2_56" 3 "b" 421 1 NA "e2"
"385" "e2_36" 3 "b" 456 1 NA "e2"
"386" "e2_32" 3 "b" 458 1 NA "e2"
"387" "e2_24" 3 "b" 510 1 NA "e2"
"388" "e2_52" 3 "b" 585 1 NA "e2"
"389" "e2_44" 3 "b" 625 1 NA "e2"
"390" "e2_4" 3 "b" 670 1 NA "e2"
"391" "e2_20" 3 "b" 713 1 NA "e2"
"392" "e2_12" 3 "b" 808 1 NA "e2"
"393" "e2_19" 4 "b" 219 1 NA "e2"
"394" "e2_59" 4 "b" 256 1 NA "e2"
"395" "e2_43" 4 "b" 268 1 NA "e2"
"396" "e2_51" 4 "b" 289 1 NA "e2"
"397" "e2_55" 4 "b" 369 1 NA "e2"
"398" "e2_23" 4 "b" 375 1 NA "e2"
"399" "e2_7" 4 "b" 405 1 NA "e2"
"400" "e2_15" 4 "b" 426 1 NA "e2"
"401" "e2_27" 4 "b" 426 1 NA "e2"
"402" "e2_35" 4 "b" 456 1 NA "e2"
"403" "e2_3" 4 "b" 493 1 NA "e2"
"404" "e2_39" 4 "b" 519 1 NA "e2"
"405" "e2_31" 4 "b" 640 1 NA "e2"
"406" "e2_47" 4 "b" 1164 1 NA "e2"
"407" "e2_30" 5 "b" 254 1 NA "e2"
"408" "e2_18" 5 "b" 303 1 NA "e2"
"409" "e2_22" 5 "b" 311 1 NA "e2"
"410" "e2_6" 5 "b" 328 1 NA "e2"
"411" "e2_26" 5 "b" 345 1 NA "e2"
"412" "e2_54" 5 "b" 370 1 NA "e2"
"413" "e2_34" 5 "b" 378 1 NA "e2"
"414" "e2_38" 5 "b" 434 1 NA "e2"
"415" "e2_10" 5 "b" 453 1 NA "e2"
"416" "e2_42" 5 "b" 460 1 NA "e2"
"417" "e2_14" 5 "b" 471 1 NA "e2"
"418" "e2_2" 5 "b" 485 1 NA "e2"
"419" "e2_50" 5 "b" 516 1 NA "e2"
"420" "e2_58" 5 "b" 527 1 NA "e2"
"421" "e2_46" 5 "b" 531 1 NA "e2"
"422" "e2_29" 6 "b" 238 1 NA "e2"
"423" "e2_41" 6 "b" 335 1 NA "e2"
"424" "e2_21" 6 "b" 340 1 NA "e2"
"425" "e2_5" 6 "b" 367 1 NA "e2"
"426" "e2_13" 6 "b" 368 1 NA "e2"
"427" "e2_25" 6 "b" 371 1 NA "e2"
"428" "e2_49" 6 "b" 413 1 NA "e2"
"429" "e2_37" 6 "b" 415 1 NA "e2"
"430" "e2_57" 6 "b" 445 1 NA "e2"
"431" "e2_45" 6 "b" 449 1 NA "e2"
"432" "e2_53" 6 "b" 453 1 NA "e2"
"433" "e2_9" 6 "b" 481 1 NA "e2"
"434" "e2_17" 6 "b" 566 1 NA "e2"
"435" "e2_33" 6 "b" 700 1 NA "e2"
"436" "e2_48" 7 "b" 254 1 NA "e2"
"437" "e2_40" 7 "b" 269 1 NA "e2"
"438" "e2_4" 7 "b" 293 1 NA "e2"
"439" "e2_20" 7 "b" 319 1 NA "e2"
"440" "e2_56" 7 "b" 322 1 NA "e2"
"441" "e2_16" 7 "b" 336 1 NA "e2"
"442" "e2_8" 7 "b" 340 1 NA "e2"
"443" "e2_12" 7 "b" 395 1 NA "e2"
"444" "e2_24" 7 "b" 455 1 NA "e2"
"445" "e2_44" 7 "b" 462 2 NA "e2"
"446" "e2_28" 7 "b" 550 1 NA "e2"
"447" "e2_36" 7 "b" 556 1 NA "e2"
"448" "e2_52" 7 "b" 725 1 NA "e2"
"449" "e2_32" 7 "b" 1051 1 NA "e2"
"450" "e2_60" 7 "b" 1219 1 NA "e2"
"451" "e2_27" 8 "b" 313 1 NA "e2"
"452" "e2_15" 8 "b" 341 1 NA "e2"
"453" "e2_43" 8 "b" 343 1 NA "e2"
"454" "e2_23" 8 "b" 355 1 NA "e2"
"455" "e2_3" 8 "b" 367 1 NA "e2"
"456" "e2_35" 8 "b" 391 1 NA "e2"
"457" "e2_55" 8 "b" 396 1 NA "e2"
"458" "e2_19" 8 "b" 399 1 NA "e2"
"459" "e2_47" 8 "b" 524 1 NA "e2"
"460" "e2_39" 8 "b" 566 1 NA "e2"
"461" "e2_7" 8 "b" 604 1 NA "e2"
