ID	exp	item	condition	CL 	BEI	aligned.position	region	correct	RT
5	e5	21	a	noCL	noBEI	?	?	1	3940
6	e5	4	a	noCL	noBEI	0	0	-	1342
6	e5	4	a	noCL	noBEI	1	1	-	578
6	e5	4	a	noCL	noBEI	2	2	-	419
6	e5	4	a	noCL	noBEI	3	3	-	498
6	e5	4	a	noCL	noBEI	4	4	-	624
6	e5	4	a	noCL	noBEI	5	5	-	1509
6	e5	4	a	noCL	noBEI	6	6	-	1397
6	e5	4	a	noCL	noBEI	?	?	1	2157
6	e5	8	a	noCL	noBEI	0	0	-	618
6	e5	8	a	noCL	noBEI	1	1	-	490
6	e5	8	a	noCL	noBEI	2	2	-	458
6	e5	8	a	noCL	noBEI	3	3	-	633
6	e5	8	a	noCL	noBEI	4	4	-	879
6	e5	8	a	noCL	noBEI	5	5	-	1270
6	e5	8	a	noCL	noBEI	6	6	-	1509
6	e5	8	a	noCL	noBEI	?	?	1	4351
6	e5	12	a	noCL	noBEI	0	0	-	1589
6	e5	12	a	noCL	noBEI	1	1	-	760
6	e5	12	a	noCL	noBEI	2	2	-	848
6	e5	12	a	noCL	noBEI	3	3	-	1007
6	e5	12	a	noCL	noBEI	4	4	-	792
6	e5	12	a	noCL	noBEI	5	5	-	561
6	e5	12	a	noCL	noBEI	6	6	-	943
6	e5	12	a	noCL	noBEI	?	?	1	3388
6	e5	16	a	noCL	noBEI	0	0	-	769
6	e5	16	a	noCL	noBEI	1	1	-	704
6	e5	16	a	noCL	noBEI	2	2	-	450
6	e5	16	a	noCL	noBEI	3	3	-	602
6	e5	16	a	noCL	noBEI	4	4	-	689
6	e5	16	a	noCL	noBEI	5	5	-	649
6	e5	16	a	noCL	noBEI	6	6	-	848
6	e5	16	a	noCL	noBEI	?	?	1	3590
6	e5	20	a	noCL	noBEI	0	0	-	1015
6	e5	20	a	noCL	noBEI	1	1	-	689
6	e5	20	a	noCL	noBEI	2	2	-	538
6	e5	20	a	noCL	noBEI	3	3	-	2654
6	e5	20	a	noCL	noBEI	4	4	-	665
6	e5	20	a	noCL	noBEI	5	5	-	609
6	e5	20	a	noCL	noBEI	6	6	-	753
6	e5	20	a	noCL	noBEI	?	?	1	3638
6	e5	24	a	noCL	noBEI	0	0	-	912
6	e5	24	a	noCL	noBEI	1	1	-	1063
6	e5	24	a	noCL	noBEI	2	2	-	490
6	e5	24	a	noCL	noBEI	3	3	-	625
6	e5	24	a	noCL	noBEI	4	4	-	1015
6	e5	24	a	noCL	noBEI	5	5	-	513
6	e5	24	a	noCL	noBEI	6	6	-	545
6	e5	24	a	noCL	noBEI	?	?	1	2657
7	e5	3	a	noCL	noBEI	0	0	-	331
7	e5	3	a	noCL	noBEI	1	1	-	427
7	e5	3	a	noCL	noBEI	2	2	-	737
7	e5	3	a	noCL	noBEI	3	3	-	426
7	e5	3	a	noCL	noBEI	4	4	-	323
7	e5	3	a	noCL	noBEI	5	5	-	1055
7	e5	3	a	noCL	noBEI	6	6	-	928
7	e5	3	a	noCL	noBEI	?	?	1	1717
7	e5	7	a	noCL	noBEI	0	0	-	307
7	e5	7	a	noCL	noBEI	1	1	-	339
7	e5	7	a	noCL	noBEI	2	2	-	283
7	e5	7	a	noCL	noBEI	3	3	-	315
7	e5	7	a	noCL	noBEI	4	4	-	800
7	e5	7	a	noCL	noBEI	5	5	-	339
7	e5	7	a	noCL	noBEI	6	6	-	562
7	e5	7	a	noCL	noBEI	?	?	1	2683
7	e5	11	a	noCL	noBEI	0	0	-	347
7	e5	11	a	noCL	noBEI	1	1	-	347
7	e5	11	a	noCL	noBEI	2	2	-	322
7	e5	11	a	noCL	noBEI	3	3	-	347
7	e5	11	a	noCL	noBEI	4	4	-	522
7	e5	11	a	noCL	noBEI	5	5	-	459
7	e5	11	a	noCL	noBEI	6	6	-	896
7	e5	11	a	noCL	noBEI	?	?	0	2609
7	e5	15	a	noCL	noBEI	0	0	-	323
7	e5	15	a	noCL	noBEI	1	1	-	339
7	e5	15	a	noCL	noBEI	2	2	-	737
7	e5	15	a	noCL	noBEI	3	3	-	458
7	e5	15	a	noCL	noBEI	4	4	-	530
7	e5	15	a	noCL	noBEI	5	5	-	585
7	e5	15	a	noCL	noBEI	6	6	-	2846
7	e5	15	a	noCL	noBEI	?	?	1	2338
7	e5	19	a	noCL	noBEI	0	0	-	307
7	e5	19	a	noCL	noBEI	1	1	-	307
7	e5	19	a	noCL	noBEI	2	2	-	283
7	e5	19	a	noCL	noBEI	3	3	-	395
7	e5	19	a	noCL	noBEI	4	4	-	1007
7	e5	19	a	noCL	noBEI	5	5	-	370
7	e5	19	a	noCL	noBEI	6	6	-	705
7	e5	19	a	noCL	noBEI	?	?	1	1393
7	e5	23	a	noCL	noBEI	0	0	-	323
7	e5	23	a	noCL	noBEI	1	1	-	307
7	e5	23	a	noCL	noBEI	2	2	-	204
7	e5	23	a	noCL	noBEI	3	3	-	736
7	e5	23	a	noCL	noBEI	4	4	-	784
7	e5	23	a	noCL	noBEI	5	5	-	338
7	e5	23	a	noCL	noBEI	6	6	-	561
7	e5	23	a	noCL	noBEI	?	?	1	2441
8	e5	2	a	noCL	noBEI	0	0	-	546
8	e5	2	a	noCL	noBEI	1	1	-	570
8	e5	2	a	noCL	noBEI	2	2	-	466
