"subject" "item" "condition" "RT" "correct" "roi" "expt"
"244" "e1_10" 15 "d" 323 "1" "MainV" "e1"
"245" "e1_10" 15 "d" 323 "1" "Adv" "e1"
"246" "e1_10" 15 "d" 394 "1" "RCV" "e1"
"247" "e1_10" 15 "d" 307 "1" "CL" "e1"
"248" "e1_10" 15 "d" 339 "1" "MainO" "e1"
"249" "e1_10" 15 "d" 299 "1" "RCNP" "e1"
"250" "e1_10" 16 "a" 609 "1" "de" "e1"
"251" "e1_10" 16 "a" 1381 "1" "MainO" "e1"
"252" "e1_10" 16 "a" 530 "1" "RCV" "e1"
"253" "e1_10" 16 "a" 673 "1" "Adv" "e1"
"254" "e1_10" 16 "a" 530 "1" "headnoun" "e1"
"255" "e1_10" 16 "a" 665 "1" "RCNP" "e1"
"256" "e1_10" 16 "a" 570 "1" "MainV" "e1"
"257" "e1_10" 17 "b" 633 "1" "RCNP" "e1"
"258" "e1_10" 17 "b" 362 "1" "MainV" "e1"
"259" "e1_10" 17 "b" 347 "1" "de" "e1"
"260" "e1_10" 17 "b" 593 "1" "headnoun" "e1"
"261" "e1_10" 17 "b" 689 "1" "RCV" "e1"
"262" "e1_10" 17 "b" 793 "1" "CL" "e1"
"263" "e1_10" 17 "b" 410 "1" "MainO" "e1"
"264" "e1_10" 17 "b" 370 "1" "Adv" "e1"
"265" "e1_10" 18 "c" 347 "1" "BEI" "e1"
"266" "e1_10" 18 "c" 307 "1" "de" "e1"
"267" "e1_10" 18 "c" 442 "1" "MainO" "e1"
"268" "e1_10" 18 "c" 275 "1" "headnoun" "e1"
"269" "e1_10" 18 "c" 307 "1" "MainV" "e1"
"270" "e1_10" 18 "c" 267 "1" "Adv" "e1"
"271" "e1_10" 18 "c" 569 "1" "RCNP" "e1"
"272" "e1_10" 18 "c" 354 "1" "RCV" "e1"
"273" "e1_10" 19 "d" 322 "1" "RCV" "e1"
"274" "e1_10" 19 "d" 299 "1" "BEI" "e1"
"275" "e1_10" 19 "d" 888 "1" "MainO" "e1"
"276" "e1_10" 19 "d" 283 "1" "Adv" "e1"
"277" "e1_10" 19 "d" 251 "1" "headnoun" "e1"
"278" "e1_10" 19 "d" 291 "1" "RCNP" "e1"
"279" "e1_10" 19 "d" 275 "1" "MainV" "e1"
"280" "e1_10" 19 "d" 259 "1" "de" "e1"
"281" "e1_10" 19 "d" 466 "1" "CL" "e1"
"282" "e1_10" 2 "c" 577 "1" "RCNP" "e1"
"283" "e1_10" 2 "c" 370 "1" "MainO" "e1"
"284" "e1_10" 2 "c" 346 "1" "Adv" "e1"
"285" "e1_10" 2 "c" 545 "1" "de" "e1"
"286" "e1_10" 2 "c" 760 "1" "RCV" "e1"
"287" "e1_10" 2 "c" 522 "1" "BEI" "e1"
"288" "e1_10" 2 "c" 426 "1" "MainV" "e1"
"289" "e1_10" 2 "c" 816 "1" "headnoun" "e1"
"290" "e1_10" 20 "a" 546 "1" "headnoun" "e1"
"291" "e1_10" 20 "a" 418 "1" "MainO" "e1"
"292" "e1_10" 20 "a" 625 "1" "RCV" "e1"
"293" "e1_10" 20 "a" 378 "1" "MainV" "e1"
"294" "e1_10" 20 "a" 482 "1" "de" "e1"
"295" "e1_10" 20 "a" 474 "1" "Adv" "e1"
"296" "e1_10" 20 "a" 450 "1" "RCNP" "e1"
"297" "e1_10" 21 "b" 585 "1" "RCV" "e1"
"298" "e1_10" 21 "b" 346 "1" "MainV" "e1"
"299" "e1_10" 21 "b" 403 "1" "CL" "e1"
"300" "e1_10" 21 "b" 307 "1" "headnoun" "e1"
"301" "e1_10" 21 "b" 410 "1" "MainO" "e1"
"302" "e1_10" 21 "b" 354 "1" "Adv" "e1"
"303" "e1_10" 21 "b" 299 "1" "de" "e1"
"304" "e1_10" 21 "b" 338 "1" "RCNP" "e1"
"305" "e1_10" 22 "c" 490 "1" "de" "e1"
"306" "e1_10" 22 "c" 482 "1" "MainO" "e1"
"307" "e1_10" 22 "c" 984 "1" "BEI" "e1"
"308" "e1_10" 22 "c" 569 "1" "RCV" "e1"
"309" "e1_10" 22 "c" 442 "1" "Adv" "e1"
"310" "e1_10" 22 "c" 426 "1" "MainV" "e1"
"311" "e1_10" 22 "c" 546 "1" "headnoun" "e1"
"312" "e1_10" 22 "c" 872 "1" "RCNP" "e1"
"313" "e1_10" 23 "d" 267 "1" "de" "e1"
"314" "e1_10" 23 "d" 355 "1" "RCV" "e1"
"315" "e1_10" 23 "d" 402 "1" "MainO" "e1"
"316" "e1_10" 23 "d" 243 "1" "Adv" "e1"
"317" "e1_10" 23 "d" 267 "1" "MainV" "e1"
"318" "e1_10" 23 "d" 267 "1" "headnoun" "e1"
"319" "e1_10" 23 "d" 363 "1" "CL" "e1"
"320" "e1_10" 23 "d" 323 "1" "RCNP" "e1"
"321" "e1_10" 23 "d" 323 "1" "BEI" "e1"
"322" "e1_10" 24 "a" 577 "1" "Adv" "e1"
"323" "e1_10" 24 "a" 530 "1" "MainO" "e1"
"324" "e1_10" 24 "a" 490 "1" "de" "e1"
"325" "e1_10" 24 "a" 458 "1" "headnoun" "e1"
"326" "e1_10" 24 "a" 482 "1" "RCNP" "e1"
"327" "e1_10" 24 "a" 529 "1" "MainV" "e1"
"328" "e1_10" 24 "a" 562 "1" "RCV" "e1"
"329" "e1_10" 3 "d" 410 "1" "MainO" "e1"
"330" "e1_10" 3 "d" 442 "1" "BEI" "e1"
"331" "e1_10" 3 "d" 418 "1" "Adv" "e1"
"332" "e1_10" 3 "d" 490 "1" "headnoun" "e1"
"333" "e1_10" 3 "d" 474 "1" "CL" "e1"
"334" "e1_10" 3 "d" 490 "1" "RCNP" "e1"
"335" "e1_10" 3 "d" 665 "1" "RCV" "e1"
"336" "e1_10" 3 "d" 363 "1" "de" "e1"
"337" "e1_10" 3 "d" 346 "1" "MainV" "e1"
"338" "e1_10" 4 "a" 307 "1" "headnoun" "e1"
"339" "e1_10" 4 "a" 331 "1" "de" "e1"
"340" "e1_10" 4 "a" 530 "1" "RCNP" "e1"
"341" "e1_10" 4 "a" 323 "1" "RCV" "e1"
"342" "e1_10" 4 "a" 299 "1" "Adv" "e1"
"343" "e1_10" 4 "a" 466 "1" "MainO" "e1"
"344" "e1_10" 4 "a" 275 "1" "MainV" "e1"
"345" "e1_10" 5 "b" 562 "1" "de" "e1"
"346" "e1_10" 5 "b" 458 "1" "Adv" "e1"
"347" "e1_10" 5 "b" 394 "1" "MainO" "e1"
"348" "e1_10" 5 "b" 418 "1" "MainV" "e1"
"349" "e1_10" 5 "b" 474 "1" "headnoun" "e1"
"350" "e1_10" 5 "b" 339 "1" "RCV" "e1"
"351" "e1_10" 5 "b" 371 "1" "CL" "e1"
"352" "e1_10" 5 "b" 442 "1" "RCNP" "e1"
"353" "e1_10" 6 "c" 609 "1" "RCV" "e1"
"354" "e1_10" 6 "c" 466 "1" "RCNP" "e1"
"355" "e1_10" 6 "c" 418 "1" "headnoun" "e1"
"356" "e1_10" 6 "c" 402 "1" "de" "e1"
"357" "e1_10" 6 "c" 378 "1" "Adv" "e1"
"358" "e1_10" 6 "c" 331 "1" "MainV" "e1"
