"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"296" "NP3" 18 "e1a" 3 "d" 8 "foreman" "rt" 834 "ungram" "lo" -1 -1 -1 "english" "spr"
"298" "NP3" 18 "e1a" 1 "b" 8 "peasant" "rt" 714 "gram" "lo" 1 -1 1 "english" "spr"
"300" "NP3" 18 "e1a" 12 "a" 8 "teacher" "rt" 674 "gram" "hi" 1 1 -1 "english" "spr"
"302" "NP3" 18 "e1a" 6 "c" 8 "conductor" "rt" 850 "ungram" "hi" -1 1 1 "english" "spr"
"304" "NP3" 18 "e1a" 5 "b" 8 "father" "rt" 666 "gram" "lo" 1 -1 1 "english" "spr"
"306" "NP3" 18 "e1a" 4 "a" 8 "professor" "rt" 794 "gram" "hi" 1 1 -1 "english" "spr"
"308" "NP3" 18 "e1a" 8 "a" 8 "doctor" "rt" 610 "gram" "hi" 1 1 -1 "english" "spr"
"310" "NP3" 18 "e1a" 9 "b" 8 "bystander" "rt" 634 "gram" "lo" 1 -1 1 "english" "spr"
"312" "NP3" 18 "e1a" 13 "b" 8 "worker" "rt" 650 "gram" "lo" 1 -1 1 "english" "spr"
"314" "NP3" 18 "e1a" 14 "c" 8 "spy" "rt" 602 "ungram" "hi" -1 1 1 "english" "spr"
"316" "NP3" 18 "e1a" 10 "c" 8 "guard" "rt" 586 "ungram" "hi" -1 1 1 "english" "spr"
"318" "NP3" 18 "e1a" 11 "d" 8 "visitor" "rt" 850 "ungram" "lo" -1 -1 -1 "english" "spr"
"320" "NP3" 18 "e1a" 2 "c" 8 "sister" "rt" 506 "ungram" "hi" -1 1 1 "english" "spr"
"322" "NP3" 19 "e1a" 13 "c" 8 "worker" "rt" 834 "ungram" "hi" -1 1 1 "english" "spr"
"324" "NP3" 19 "e1a" 3 "a" 8 "foreman" "rt" 938 "gram" "hi" 1 1 -1 "english" "spr"
"326" "NP3" 19 "e1a" 7 "a" 8 "stranger" "rt" 562 "gram" "hi" 1 1 -1 "english" "spr"
"328" "NP3" 19 "e1a" 2 "d" 8 "sister" "rt" 2138 "ungram" "lo" -1 -1 -1 "english" "spr"
"330" "NP3" 19 "e1a" 4 "b" 8 "professor" "rt" 2193 "gram" "lo" 1 -1 1 "english" "spr"
"332" "NP3" 19 "e1a" 5 "c" 8 "father" "rt" 706 "ungram" "hi" -1 1 1 "english" "spr"
"334" "NP3" 19 "e1a" 9 "c" 8 "bystander" "rt" 434 "ungram" "hi" -1 1 1 "english" "spr"
"336" "NP3" 19 "e1a" 6 "d" 8 "conductor" "rt" 474 "ungram" "lo" -1 -1 -1 "english" "spr"
"338" "NP3" 19 "e1a" 8 "b" 8 "doctor" "rt" 554 "gram" "lo" 1 -1 1 "english" "spr"
"340" "NP3" 19 "e1a" 15 "a" 8 "peasant" "rt" 626 "gram" "hi" 1 1 -1 "english" "spr"
"342" "NP3" 19 "e1a" 14 "d" 8 "spy" "rt" 594 "ungram" "lo" -1 -1 -1 "english" "spr"
"344" "NP3" 19 "e1a" 12 "b" 8 "teacher" "rt" 1602 "gram" "lo" 1 -1 1 "english" "spr"
"346" "NP3" 19 "e1a" 1 "c" 8 "peasant" "rt" 466 "ungram" "hi" -1 1 1 "english" "spr"
"348" "NP3" 19 "e1a" 10 "d" 8 "guard" "rt" 378 "ungram" "lo" -1 -1 -1 "english" "spr"
"350" "NP3" 19 "e1a" 16 "b" 8 "friend" "rt" 570 "gram" "lo" 1 -1 1 "english" "spr"
"352" "NP3" 19 "e1a" 11 "a" 8 "visitor" "rt" 434 "gram" "hi" 1 1 -1 "english" "spr"
"354" "NP3" 2 "e1a" 9 "b" 8 "bystander" "rt" 1458 "gram" "lo" 1 -1 1 "english" "spr"
"356" "NP3" 2 "e1a" 8 "a" 8 "doctor" "rt" 1178 "gram" "hi" 1 1 -1 "english" "spr"
"358" "NP3" 2 "e1a" 13 "b" 8 "worker" "rt" 1058 "gram" "lo" 1 -1 1 "english" "spr"
"360" "NP3" 2 "e1a" 7 "d" 8 "stranger" "rt" 1122 "ungram" "lo" -1 -1 -1 "english" "spr"
"362" "NP3" 2 "e1a" 14 "c" 8 "spy" "rt" 1018 "ungram" "hi" -1 1 1 "english" "spr"
"364" "NP3" 2 "e1a" 5 "b" 8 "father" "rt" 682 "gram" "lo" 1 -1 1 "english" "spr"
"366" "NP3" 2 "e1a" 2 "c" 8 "sister" "rt" 602 "ungram" "hi" -1 1 1 "english" "spr"
"368" "NP3" 2 "e1a" 3 "d" 8 "foreman" "rt" 514 "ungram" "lo" -1 -1 -1 "english" "spr"
"370" "NP3" 2 "e1a" 10 "c" 8 "guard" "rt" 594 "ungram" "hi" -1 1 1 "english" "spr"
"372" "NP3" 2 "e1a" 4 "a" 8 "professor" "rt" 442 "gram" "hi" 1 1 -1 "english" "spr"
"374" "NP3" 2 "e1a" 12 "a" 8 "teacher" "rt" 809 "gram" "hi" 1 1 -1 "english" "spr"
"376" "NP3" 2 "e1a" 6 "c" 8 "conductor" "rt" 722 "ungram" "hi" -1 1 1 "english" "spr"
"378" "NP3" 2 "e1a" 16 "a" 8 "friend" "rt" 481 "gram" "hi" 1 1 -1 "english" "spr"
"380" "NP3" 2 "e1a" 11 "d" 8 "visitor" "rt" 570 "ungram" "lo" -1 -1 -1 "english" "spr"
"382" "NP3" 2 "e1a" 1 "b" 8 "peasant" "rt" 778 "gram" "lo" 1 -1 1 "english" "spr"
"384" "NP3" 2 "e1a" 15 "d" 8 "peasant" "rt" 530 "ungram" "lo" -1 -1 -1 "english" "spr"
"386" "NP3" 20 "e1a" 4 "c" 8 "professor" "rt" 818 "ungram" "hi" -1 1 1 "english" "spr"
"388" "NP3" 20 "e1a" 9 "d" 8 "bystander" "rt" 1226 "ungram" "lo" -1 -1 -1 "english" "spr"
"390" "NP3" 20 "e1a" 15 "b" 8 "peasant" "rt" 1386 "gram" "lo" 1 -1 1 "english" "spr"
"392" "NP3" 20 "e1a" 2 "a" 8 "sister" "rt" 706 "gram" "hi" 1 1 -1 "english" "spr"
"394" "NP3" 20 "e1a" 14 "a" 8 "spy" "rt" 730 "gram" "hi" 1 1 -1 "english" "spr"
"396" "NP3" 20 "e1a" 6 "a" 8 "conductor" "rt" 770 "gram" "hi" 1 1 -1 "english" "spr"
"398" "NP3" 20 "e1a" 8 "c" 8 "doctor" "rt" 498 "ungram" "hi" -1 1 1 "english" "spr"
