"region" "subject" "expt" "item" "condition" "position" "word" "times" "value" "gram" "int" "g" "i" "gxi" "lang" "method"
"207" "NP3" 101 "e4" 6 "c" 9 "NA" "RRT" 306.838 "ungram" "hi" -1 1 -1 "german" "et"
"208" "NP3" 122 "e4" 6 "c" 9 "NA" "RRT" 1046.555 "ungram" "hi" -1 1 -1 "german" "et"
"209" "NP3" 41 "e4" 6 "d" 9 "NA" "RRT" 441.32 "ungram" "lo" -1 -1 1 "german" "et"
"210" "NP3" 115 "e4" 6 "d" 9 "NA" "RRT" 340.468 "ungram" "lo" -1 -1 1 "german" "et"
"211" "NP3" 33 "e4" 6 "d" 9 "NA" "RRT" 601.013 "ungram" "lo" -1 -1 1 "german" "et"
"212" "NP3" 106 "e4" 6 "d" 9 "NA" "RRT" 1340.716 "ungram" "lo" -1 -1 1 "german" "et"
"213" "NP3" 119 "e4" 6 "d" 9 "NA" "RRT" 390.88 "ungram" "lo" -1 -1 1 "german" "et"
"214" "NP3" 48 "e4" 6 "d" 9 "NA" "RRT" 643.018 "ungram" "lo" -1 -1 1 "german" "et"
"215" "NP3" 102 "e4" 6 "d" 9 "NA" "RRT" 1218.89 "ungram" "lo" -1 -1 1 "german" "et"
"216" "NP3" 125 "e4" 6 "d" 9 "NA" "RRT" 891.03 "ungram" "lo" -1 -1 1 "german" "et"
"217" "NP3" 123 "e4" 6 "d" 9 "NA" "RRT" 2315.846 "ungram" "lo" -1 -1 1 "german" "et"
"218" "NP3" 33 "e4" 7 "a" 9 "NA" "RRT" 151.321 "gram" "hi" 1 1 1 "german" "et"
"219" "NP3" 106 "e4" 7 "a" 9 "NA" "RRT" 134.47 "gram" "hi" 1 1 1 "german" "et"
"220" "NP3" 44 "e4" 7 "a" 9 "NA" "RRT" 1256.676 "gram" "hi" 1 1 1 "german" "et"
"221" "NP3" 102 "e4" 7 "a" 9 "NA" "RRT" 685.097 "gram" "hi" 1 1 1 "german" "et"
"222" "NP3" 48 "e4" 7 "a" 9 "NA" "RRT" 340.436 "gram" "hi" 1 1 1 "german" "et"
"223" "NP3" 107 "e4" 7 "b" 9 "NA" "RRT" 176.535 "gram" "lo" 1 -1 -1 "german" "et"
