"subject" "participant" "id" "cond" "resp" "roi" "dist" "pred" "pred.dist" "nopred.dist"
"1745" "7" "ls" 10 "d" 1 1 1 1 0 1
"1753" "7" "ls" 9 "a" 1 1 -1 -1 -1 0
"1761" "7" "ls" 32 "a" 1 1 -1 -1 -1 0
"1769" "8" "ma" 11 "b" 1 1 1 -1 1 0
"1777" "8" "ma" 5 "d" 1 1 1 1 0 1
"1785" "8" "ma" 28 "c" 1 1 -1 1 0 -1
"1793" "8" "ma" 22 "d" 1 1 1 1 0 1
"1801" "8" "ma" 4 "a" 1 1 -1 -1 -1 0
"1809" "8" "ma" 2 "c" 1 1 -1 1 0 -1
"1817" "8" "ma" 29 "c" 1 1 -1 1 0 -1
"1825" "8" "ma" 21 "a" 1 1 -1 -1 -1 0
"1833" "8" "ma" 15 "c" 1 1 -1 1 0 -1
"1841" "8" "ma" 30 "b" 1 1 1 -1 1 0
"1849" "8" "ma" 25 "b" 1 1 1 -1 1 0
"1857" "8" "ma" 27 "d" 0 1 1 1 0 1
"1865" "8" "ma" 18 "d" 1 1 1 1 0 1
"1873" "8" "ma" 13 "a" 0 1 -1 -1 -1 0
"1881" "8" "ma" 12 "a" 1 1 -1 -1 -1 0
"1889" "8" "ma" 23 "d" 1 1 1 1 0 1
"1897" "8" "ma" 19 "c" 1 1 -1 1 0 -1
"1905" "8" "ma" 17 "a" 0 1 -1 -1 -1 0
"1913" "8" "ma" 16 "b" 1 1 1 -1 1 0
"1921" "8" "ma" 26 "a" 1 1 -1 -1 -1 0
"1929" "8" "ma" 6 "c" 1 1 -1 1 0 -1
"1937" "8" "ma" 14 "d" 1 1 1 1 0 1
"1945" "8" "ma" 3 "b" 1 1 1 -1 1 0
"1953" "8" "ma" 7 "b" 1 1 1 -1 1 0
"1961" "8" "ma" 8 "a" 1 1 -1 -1 -1 0
"1969" "8" "ma" 31 "a" 1 1 -1 -1 -1 0
"1977" "8" "ma" 20 "b" 1 1 1 -1 1 0
"1985" "8" "ma" 24 "c" 1 1 -1 1 0 -1
"1993" "8" "ma" 1 "b" 1 1 1 -1 1 0
"2001" "8" "ma" 10 "c" 1 1 -1 1 0 -1
"2009" "8" "ma" 9 "d" 1 1 1 1 0 1
"2017" "8" "ma" 32 "d" 1 1 1 1 0 1
"2025" "9" "ma2" 11 "a" 1 1 -1 -1 -1 0
"2033" "9" "ma2" 5 "c" 1 1 -1 1 0 -1
"2041" "9" "ma2" 28 "b" 1 1 1 -1 1 0
"2049" "9" "ma2" 22 "c" 1 1 -1 1 0 -1
"2057" "9" "ma2" 4 "d" 1 1 1 1 0 1
"2065" "9" "ma2" 2 "b" 0 1 1 -1 1 0
"2073" "9" "ma2" 29 "b" 1 1 1 -1 1 0
"2081" "9" "ma2" 21 "d" 0 1 1 1 0 1
"2089" "9" "ma2" 15 "b" 1 1 1 -1 1 0
"2097" "9" "ma2" 30 "a" 1 1 -1 -1 -1 0
"2105" "9" "ma2" 25 "a" 1 1 -1 -1 -1 0
"2113" "9" "ma2" 27 "c" 1 1 -1 1 0 -1
"2121" "9" "ma2" 18 "c" 1 1 -1 1 0 -1
"2129" "9" "ma2" 13 "d" 1 1 1 1 0 1
"2137" "9" "ma2" 12 "d" 0 1 1 1 0 1
"2145" "9" "ma2" 23 "c" 1 1 -1 1 0 -1
"2153" "9" "ma2" 19 "b" 1 1 1 -1 1 0
"2161" "9" "ma2" 17 "d" 1 1 1 1 0 1
"2169" "9" "ma2" 16 "a" 1 1 -1 -1 -1 0
"2177" "9" "ma2" 26 "d" 0 1 1 1 0 1
"2185" "9" "ma2" 6 "b" 1 1 1 -1 1 0
"2193" "9" "ma2" 14 "c" 1 1 -1 1 0 -1
"2201" "9" "ma2" 3 "a" 1 1 -1 -1 -1 0
"2209" "9" "ma2" 7 "a" 1 1 -1 -1 -1 0
"2217" "9" "ma2" 8 "d" 1 1 1 1 0 1
"2225" "9" "ma2" 31 "d" 1 1 1 1 0 1
"2233" "9" "ma2" 20 "a" 1 1 -1 -1 -1 0
"2241" "9" "ma2" 24 "b" 1 1 1 -1 1 0
"2249" "9" "ma2" 1 "a" 1 1 -1 -1 -1 0
"2257" "9" "ma2" 10 "b" 1 1 1 -1 1 0
"2265" "9" "ma2" 9 "c" 1 1 -1 1 0 -1
"2273" "9" "ma2" 32 "c" 0 1 -1 1 0 -1
"2281" "10" "man" 11 "a" 1 1 -1 -1 -1 0
"2289" "10" "man" 5 "c" 1 1 -1 1 0 -1
"2297" "10" "man" 28 "b" 1 1 1 -1 1 0
"2305" "10" "man" 22 "c" 1 1 -1 1 0 -1
"2313" "10" "man" 4 "d" 1 1 1 1 0 1
"2321" "10" "man" 2 "b" 1 1 1 -1 1 0
"2329" "10" "man" 29 "b" 1 1 1 -1 1 0
"2337" "10" "man" 21 "d" 1 1 1 1 0 1
"2345" "10" "man" 15 "b" 1 1 1 -1 1 0
"2353" "10" "man" 30 "a" 1 1 -1 -1 -1 0
"2361" "10" "man" 25 "a" 1 1 -1 -1 -1 0
"2369" "10" "man" 27 "c" 1 1 -1 1 0 -1
"2377" "10" "man" 18 "c" 1 1 -1 1 0 -1
"2385" "10" "man" 13 "d" 1 1 1 1 0 1
"2393" "10" "man" 12 "d" 0 1 1 1 0 1
"2401" "10" "man" 23 "c" 1 1 -1 1 0 -1
"2409" "10" "man" 19 "b" 1 1 1 -1 1 0
"2417" "10" "man" 17 "d" 1 1 1 1 0 1
"2425" "10" "man" 16 "a" 1 1 -1 -1 -1 0
"2433" "10" "man" 26 "d" 1 1 1 1 0 1
"2441" "10" "man" 6 "b" 1 1 1 -1 1 0
"2449" "10" "man" 14 "c" 1 1 -1 1 0 -1
"2457" "10" "man" 3 "a" 1 1 -1 -1 -1 0
"2465" "10" "man" 7 "a" 1 1 -1 -1 -1 0
"2473" "10" "man" 8 "d" 1 1 1 1 0 1
"2481" "10" "man" 31 "d" 1 1 1 1 0 1
"2489" "10" "man" 20 "a" 1 1 -1 -1 -1 0
"2497" "10" "man" 24 "b" 1 1 1 -1 1 0
"2505" "10" "man" 1 "a" 1 1 -1 -1 -1 0
"2513" "10" "man" 10 "b" 1 1 1 -1 1 0
"2521" "10" "man" 9 "c" 1 1 -1 1 0 -1
"2529" "10" "man" 32 "c" 1 1 -1 1 0 -1
"2537" "11" "map" 11 "d" 0 1 1 1 0 1
"2545" "11" "map" 5 "b" 0 1 1 -1 1 0
"2553" "11" "map" 28 "a" 1 1 -1 -1 -1 0
"2561" "11" "map" 22 "b" 1 1 1 -1 1 0
"2569" "11" "map" 4 "c" 1 1 -1 1 0 -1
"2577" "11" "map" 2 "a" 1 1 -1 -1 -1 0
"2585" "11" "map" 29 "a" 1 1 -1 -1 -1 0
"2593" "11" "map" 21 "c" 1 1 -1 1 0 -1
"2601" "11" "map" 15 "a" 1 1 -1 -1 -1 0
"2609" "11" "map" 30 "d" 1 1 1 1 0 1
"2617" "11" "map" 25 "d" 1 1 1 1 0 1
"2625" "11" "map" 27 "b" 0 1 1 -1 1 0
"2633" "11" "map" 18 "b" 0 1 1 -1 1 0
"2641" "11" "map" 13 "c" 1 1 -1 1 0 -1
"2649" "11" "map" 12 "c" 1 1 -1 1 0 -1
"2657" "11" "map" 23 "b" 1 1 1 -1 1 0
"2665" "11" "map" 19 "a" 0 1 -1 -1 -1 0
"2673" "11" "map" 17 "c" 1 1 -1 1 0 -1
"2681" "11" "map" 16 "d" 1 1 1 1 0 1
"2689" "11" "map" 26 "c" 1 1 -1 1 0 -1
"2697" "11" "map" 6 "a" 1 1 -1 -1 -1 0
"2705" "11" "map" 14 "b" 0 1 1 -1 1 0
"2713" "11" "map" 3 "d" 0 1 1 1 0 1
"2721" "11" "map" 7 "d" 1 1 1 1 0 1
"2729" "11" "map" 8 "c" 1 1 -1 1 0 -1
"2737" "11" "map" 31 "c" 0 1 -1 1 0 -1
"2745" "11" "map" 20 "d" 1 1 1 1 0 1
"2753" "11" "map" 24 "a" 1 1 -1 -1 -1 0
"2761" "11" "map" 1 "d" 1 1 1 1 0 1
"2769" "11" "map" 10 "a" 1 1 -1 -1 -1 0
"2777" "11" "map" 9 "b" 0 1 1 -1 1 0
"2785" "11" "map" 32 "b" 1 1 1 -1 1 0
"2793" "12" "mb" 11 "c" 1 1 -1 1 0 -1
"2801" "12" "mb" 5 "a" 1 1 -1 -1 -1 0
"2809" "12" "mb" 28 "d" 1 1 1 1 0 1
"2817" "12" "mb" 22 "a" 1 1 -1 -1 -1 0
"2825" "12" "mb" 4 "b" 1 1 1 -1 1 0
"2833" "12" "mb" 2 "d" 1 1 1 1 0 1
"2841" "12" "mb" 29 "d" 1 1 1 1 0 1
"2849" "12" "mb" 21 "b" 1 1 1 -1 1 0
"2857" "12" "mb" 15 "d" 1 1 1 1 0 1
"2865" "12" "mb" 30 "c" 1 1 -1 1 0 -1
"2873" "12" "mb" 25 "c" 1 1 -1 1 0 -1
"2881" "12" "mb" 27 "a" 1 1 -1 -1 -1 0
"2889" "12" "mb" 18 "a" 1 1 -1 -1 -1 0
"2897" "12" "mb" 13 "b" 1 1 1 -1 1 0
"2905" "12" "mb" 12 "b" 1 1 1 -1 1 0
"2913" "12" "mb" 23 "a" 1 1 -1 -1 -1 0
"2921" "12" "mb" 19 "d" 1 1 1 1 0 1
"2929" "12" "mb" 17 "b" 1 1 1 -1 1 0
"2937" "12" "mb" 16 "c" 1 1 -1 1 0 -1
"2945" "12" "mb" 26 "b" 1 1 1 -1 1 0
"2953" "12" "mb" 6 "d" 1 1 1 1 0 1
"2961" "12" "mb" 14 "a" 1 1 -1 -1 -1 0
"2969" "12" "mb" 3 "c" 1 1 -1 1 0 -1
"2977" "12" "mb" 7 "c" 1 1 -1 1 0 -1
"2985" "12" "mb" 8 "b" 1 1 1 -1 1 0
"2993" "12" "mb" 31 "b" 1 1 1 -1 1 0
"3001" "12" "mb" 20 "c" 1 1 -1 1 0 -1
"3009" "12" "mb" 24 "d" 1 1 1 1 0 1
"3017" "12" "mb" 1 "c" 1 1 -1 1 0 -1
"3025" "12" "mb" 10 "d" 1 1 1 1 0 1
"3033" "12" "mb" 9 "a" 1 1 -1 -1 -1 0
"3041" "12" "mb" 32 "a" 1 1 -1 -1 -1 0
"3049" "13" "mk" 11 "c" 1 1 -1 1 0 -1
"3057" "13" "mk" 5 "a" 1 1 -1 -1 -1 0
"3065" "13" "mk" 28 "d" 1 1 1 1 0 1
"3073" "13" "mk" 22 "a" 1 1 -1 -1 -1 0
"3081" "13" "mk" 4 "b" 1 1 1 -1 1 0
"3089" "13" "mk" 2 "d" 1 1 1 1 0 1
"3097" "13" "mk" 29 "d" 1 1 1 1 0 1
"3105" "13" "mk" 21 "b" 1 1 1 -1 1 0
"3113" "13" "mk" 15 "d" 1 1 1 1 0 1
"3121" "13" "mk" 30 "c" 0 1 -1 1 0 -1
"3129" "13" "mk" 25 "c" 0 1 -1 1 0 -1
"3137" "13" "mk" 27 "a" 0 1 -1 -1 -1 0
"3145" "13" "mk" 18 "a" 1 1 -1 -1 -1 0
"3153" "13" "mk" 13 "b" 1 1 1 -1 1 0
"3161" "13" "mk" 12 "b" 1 1 1 -1 1 0
"3169" "13" "mk" 23 "a" 1 1 -1 -1 -1 0
"3177" "13" "mk" 19 "d" 1 1 1 1 0 1
"3185" "13" "mk" 17 "b" 1 1 1 -1 1 0
"3193" "13" "mk" 16 "c" 1 1 -1 1 0 -1
"3201" "13" "mk" 26 "b" 1 1 1 -1 1 0
"3209" "13" "mk" 6 "d" 1 1 1 1 0 1
"3217" "13" "mk" 14 "a" 0 1 -1 -1 -1 0
"3225" "13" "mk" 3 "c" 1 1 -1 1 0 -1
"3233" "13" "mk" 7 "c" 1 1 -1 1 0 -1
"3241" "13" "mk" 8 "b" 1 1 1 -1 1 0
"3249" "13" "mk" 31 "b" 1 1 1 -1 1 0
"3257" "13" "mk" 20 "c" 1 1 -1 1 0 -1
"3265" "13" "mk" 24 "d" 1 1 1 1 0 1
"3273" "13" "mk" 1 "c" 1 1 -1 1 0 -1
