"subject" "id" "cond" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT"
"231" "aa" 33 "d" 7 225 1 0 1327 1327 1327 1327 4656 0 0 0 0 0 1327
"232" "aa" 33 "d" 8 0 0 0 0 0 0 0 4656 0 0 0 0 0 0
"233" "aa" 34 "c" 1 182 1 0 324 324 1056 324 324 732 0 732 0 0 258
"234" "aa" 34 "c" 2 163 1 0 163 163 764 306 630 601 0 601 1 1 274
"235" "aa" 34 "c" 3 189 1 0 573 573 2716 573 1203 2143 0 2143 0 1 1002
"236" "aa" 34 "c" 4 233 1 0 233 410 803 565 1768 570 177 393 1 1 202
"237" "aa" 34 "c" 5 0 0 0 0 0 0 0 1768 0 0 0 0 0 0
"238" "aa" 34 "c" 6 265 1 0 2108 6980 6980 10551 12319 4872 4872 0 2 2 3030
"239" "aa" 34 "c" 7 0 0 0 0 0 0 0 12319 0 0 0 0 0 0
"240" "aa" 34 "c" 8 0 0 0 0 0 0 0 12319 0 0 0 0 0 0
"241" "aa" 35 "b" 1 432 1 432 432 432 432 432 432 0 0 0 0 0 432
"242" "aa" 35 "b" 2 227 1 227 227 227 227 227 659 0 0 0 0 0 227
"243" "aa" 35 "b" 3 204 1 0 787 787 787 787 1446 0 0 0 0 0 787
"244" "aa" 35 "b" 4 259 1 0 509 509 509 509 1955 0 0 0 0 0 509
"245" "aa" 35 "b" 5 280 1 280 280 280 280 280 2235 0 0 0 0 0 280
"246" "aa" 35 "b" 6 0 0 0 0 0 0 0 2235 0 0 0 0 0 0
"247" "aa" 35 "b" 7 343 1 0 2629 2629 2629 2629 4864 0 0 0 0 0 2629
"248" "aa" 35 "b" 8 0 0 0 0 0 0 0 4864 0 0 0 0 0 0
"249" "aa" 36 "a" 1 369 1 369 369 369 369 369 369 0 0 0 0 0 369
"250" "aa" 36 "a" 2 394 1 0 588 588 588 588 957 0 0 0 0 0 588
"251" "aa" 36 "a" 3 284 1 284 284 284 284 284 1241 0 0 0 0 0 284
"252" "aa" 36 "a" 4 261 1 261 261 261 261 261 1502 0 0 0 0 0 261
"253" "aa" 36 "a" 5 222 1 222 222 222 222 222 1724 0 0 0 0 0 222
"254" "aa" 36 "a" 6 210 1 0 1684 1684 1684 1684 3408 0 0 0 0 0 1684
"255" "aa" 36 "a" 7 0 0 0 0 0 0 0 3408 0 0 0 0 0 0
"256" "aa" 36 "a" 8 0 0 0 0 0 0 0 3408 0 0 0 0 0 0
"257" "az" 1 "c" 1 193 1 193 193 193 193 193 193 0 0 0 0 0 193
"258" "az" 1 "c" 2 170 1 0 390 390 390 390 583 0 0 0 0 0 390
"259" "az" 1 "c" 3 264 1 0 915 915 915 915 1498 0 0 0 0 0 915
"260" "az" 1 "c" 4 196 1 196 196 196 196 196 1694 0 0 0 0 0 196
"261" "az" 1 "c" 5 519 1 519 519 519 519 519 2213 0 0 0 0 0 519
"262" "az" 1 "c" 6 0 0 0 0 0 0 0 2213 0 0 0 0 0 0
"263" "az" 1 "c" 7 0 0 0 0 0 0 0 2213 0 0 0 0 0 0
"264" "az" 1 "c" 8 0 0 0 0 0 0 0 2213 0 0 0 0 0 0
"265" "az" 2 "b" 1 62 1 0 62 62 228 62 62 166 0 166 0 0 166
"266" "az" 2 "b" 2 125 1 0 125 494 494 660 722 369 369 0 1 1 369
"267" "az" 2 "b" 3 276 1 0 449 449 449 449 1171 0 0 0 0 0 449
"268" "az" 2 "b" 4 180 1 180 180 180 180 180 1351 0 0 0 0 0 180
"269" "az" 2 "b" 5 0 0 0 0 0 0 0 1351 0 0 0 0 0 0
"270" "az" 2 "b" 6 195 1 0 1187 1187 1187 1187 2538 0 0 0 0 0 1187
"271" "az" 2 "b" 7 0 0 0 0 0 0 0 2538 0 0 0 0 0 0
"272" "az" 2 "b" 8 0 0 0 0 0 0 0 2538 0 0 0 0 0 0
