subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
de41, i6, 4, 0, -1, 13, 6.552508, NaN, 6.390241, 6.248043, 6.077642, 6.115892, 5.961005, 6.418365
de41, i5, 6, 0, 1, 13, 5.963579, 6.562444, 6.001415, 6.095825, 6.040255, 6.040255, 5.828946, 5.981414
de41, i8, 15, 1, -1, 13, 6.467699, NaN, 6.320768, 6.349139, 6.320768, 5.981414, 5.703782, 6.040255
de41, i12, 21, 1, -1, 13, 6.363028, NaN, 6.551080, 6.165418, 6.248043, 6.363028, 6.595781, 6.539586
de41, i14, 28, 1, -1, 13, 6.802395, NaN, 6.650279, 6.390241, 6.278521, 6.148468, 6.042633, 6.390241
de41, i7, 30, 1, 1, 13, 6.276643, 6.738152, 7.457032, 6.429719, 6.059123, 6.182085, 6.001415, 6.077642
de41, i1, 33, 2, 1, 13, 6.059123, 6.113682, 7.017506, 6.182085, 6.182085, 6.182085, 5.940171, 6.042633
de41, i4, 38, 3, -1, 13, 6.122493, NaN, 6.182085, 6.306275, 5.961005, 6.040255, 5.852202, 6.293419
de41, i16, 42, 3, -1, 13, 6.728629, NaN, 6.416732, 5.961005, 6.390241, 5.940171, 5.805135, 5.961005
de41, i9, 46, 3, 1, 13, 6.246107, 6.276643, 6.595781, 6.335054, 6.306275, 6.246107, 6.246107, 6.214608
de41, i15, 50, 4, 1, 13, 6.246107, 6.455199, 6.639876, 6.628041, 6.059123, 6.198479, 5.940171, 6.390241
de41, i13, 56, 5, 1, 13, 5.961005, 6.021023, 6.077642, 6.403574, 6.539586, 6.059123, 5.755742, 6.040255
de41, i3, 63, 6, 1, 13, 6.529419, 6.562444, 6.322565, 6.502790, 6.445720, 6.131226, 6.077642, 6.095825
de41, i11, 66, 7, 1, 13, 6.077642, 6.261492, 6.216606, 6.165418, 6.455199, 6.150603, 5.828946, 5.918894
de41, i10, 71, 8, -1, 13, 6.551080, NaN, 6.551080, 6.376727, 6.246107, 6.040255, 6.095825, 6.148468
de5, i3, 2, 0, 1, 12, 6.690842, 6.719013, 6.719013, 6.871091, 7.264030, 6.492240, 6.467699, 7.345365
de5, i9, 7, 1, 1, 12, 7.606885, 6.505784, 6.021023, 6.680855, 8.113726, 6.167516, 5.983936, 6.784457
de5, i10, 12, 2, -1, 12, 7.053586, NaN, 7.323831, 6.113682, 6.261492, 6.595781, 6.200509, 6.481577
de5, i12, 16, 2, -1, 12, 7.010312, NaN, 7.385231, 6.167516, 6.562444, 6.390241, 6.429719, 6.821107
de5, i14, 19, 2, -1, 12, 6.378426, NaN, 7.590852, 5.921578, 5.940171, 6.113682, 7.151485, 7.080868
de5, i1, 22, 2, 1, 12, 6.467699, 6.416732, 7.566311, 6.001415, 6.232448, 6.363028, 5.963579, 5.940171
de5, i16, 33, 3, -1, 12, 5.940171, NaN, 7.510978, 6.416732, 7.827241, 6.376727, 5.855072, 6.766192
de5, i15, 37, 3, 1, 12, 7.059618, 6.617403, 7.550135, 6.059123, 6.516193, 6.077642, 6.467699, 6.709304
