subject, item, itempos, targetpos, condition, proficiency, V1, V2, V3, NP1, NP2, PP1, PP2, PP3
nl26, i10, 51, 5, 1, 27, 6.045005, 7.453562, 7.808729, 5.924256, 6.202536, 5.945421, 5.762051, 5.736572
nl26, i3, 55, 6, -1, 27, 6.100319, NaN, 8.520388, 6.929517, 5.598422, 6.006353, 5.834811, 5.655992
nl26, i2, 62, 6, 1, 27, 6.006353, 8.298788, 7.377134, 5.857933, 5.710427, 6.118097, 5.736572, 6.682109
nl26, i6, 67, 7, 1, 27, 5.710427, 7.503290, 7.471932, 6.063785, 5.736572, 6.118097, 6.118097, 6.338594
nl27, i12, 4, 0, -1, 26, 6.507278, NaN, 6.956545, 6.206576, 7.025538, 6.383507, 6.391917, 6.826545
nl27, i16, 10, 0, -1, 26, 7.639642, NaN, 6.645091, 6.870053, 6.577861, 6.324359, 6.413459, 6.858565
nl27, i2, 18, 0, -1, 26, 6.192362, NaN, 6.891626, 6.285998, 6.208590, 6.308098, 6.086775, 6.546785
nl27, i3, 24, 0, 1, 26, 8.290794, 6.042633, 5.950643, 5.978886, 6.232448, 6.063785, 5.872118, 6.246107
nl27, i13, 28, 1, 1, 26, 5.961005, 6.642487, 6.860664, 6.167516, 6.306275, 6.063785, 6.042633, 6.287859
nl27, i15, 30, 2, 1, 26, 6.381816, 6.882437, 6.118097, 6.006353, 6.566672, 6.253829, 6.052089, 6.368187
nl27, i7, 37, 3, 1, 26, 5.749393, 6.129050, 6.315358, 6.093570, 6.484635, 5.918894, 5.855072, 6.251904
nl27, i5, 40, 4, 1, 26, 8.900413, 6.401917, 6.047372, 6.694562, 6.146329, 6.161207, 6.040255, 6.309918
nl27, i11, 46, 5, 1, 26, 6.620073, 6.198479, 6.466145, 8.105609, 6.542472, 6.267201, 6.073045, 6.418365
nl27, i6, 51, 6, -1, 26, 6.131226, NaN, 6.408529, 6.416732, 6.408529, 6.098074, 6.068426, 7.160069
nl27, i4, 54, 6, -1, 26, 5.849325, NaN, 6.129050, 6.107023, 5.796058, 5.993961, 6.327937, 6.040255
nl27, i9, 58, 6, 1, 26, 6.003887, 6.364751, 6.150603, 6.113682, 6.381816, 6.111467, 6.054439, 6.513230
nl27, i10, 65, 7, -1, 26, 5.953243, NaN, 5.843544, 6.177944, 6.830874, 6.593045, 5.983936, 6.082219
nl27, i14, 67, 7, -1, 26, 7.118826, NaN, 7.301148, 6.208590, 6.709304, 6.175867, 6.135565, 7.113956
nl27, i8, 69, 7, -1, 26, 6.040255, NaN, 5.924256, 6.265301, 7.508787, 5.888878, 6.161207, 6.439350
nl27, i1, 71, 7, 1, 26, 6.350886, 6.759255, 6.075346, 6.248043, 6.553933, 6.378426, 5.796058, 6.263398
nl29, i4, 2, 0, -1, 29, 6.347389, NaN, 7.703459, 6.042633, 6.628041, 6.246107, 6.016157, 6.416732
nl29, i3, 4, 0, 1, 29, 6.628041, 6.437752, 7.899153, 6.089045, 6.842683, 6.276643, 6.104793, 6.361302
nl29, i13, 7, 1, 1, 29, 7.569412, 7.187657, 6.047372, 6.639876, 7.258412, 6.331502, 6.171701, 6.883463
nl29, i6, 9, 2, -1, 29, 6.714171, NaN, 7.491645, 6.109248, 6.769642, 6.192362, 6.086775, 6.113682
nl29, i11, 13, 2, 1, 29, 6.361302, 7.728856, 6.278521, 7.452982, 6.063785, 5.934894, 5.968708, 6.338594
nl29, i1, 17, 3, 1, 29, 6.356108, 6.551080, 6.289716, 7.291656, 6.177944, 6.098074, 6.113682, 6.498282
nl29, i16, 21, 4, -1, 29, 6.202536, NaN, 7.698029, 6.011267, 6.660575, 6.740519, 6.018593, 6.091310
nl29, i5, 26, 4, 1, 29, 6.139885, 8.328934, 6.059123, 7.363280, 6.495266, 6.173786, 5.929589, 6.320768
nl29, i10, 28, 5, -1, 29, 7.515345, NaN, 6.715383, 6.016157, 6.133398, 6.063785, 5.986452, 6.308098
nl29, i14, 33, 5, -1, 29, 6.242223, NaN, 6.467699, 6.472346, 6.381816, 6.499787, 6.133398, 6.265301
nl29, i7, 36, 5, 1, 29, 6.144186, 6.222576, 6.177944, 7.373374, 6.284134, 5.991465, 5.883322, 5.894403
nl29, i15, 40, 6, 1, 29, 6.320768, 6.236370, 6.257668, 7.733246, 6.238325, 6.109248, 6.171701, 7.709308
nl29, i9, 52, 7, 1, 29, 7.454141, 6.091310, 6.089045, 7.118016, 6.272877, 6.137727, 6.133398, 6.204558
nl29, i12, 59, 8, -1, 29, 6.054439, NaN, 7.849324, 6.167516, 6.152733, 6.066108, 6.056784, 6.008813
nl29, i8, 64, 8, -1, 29, 6.129050, NaN, 6.284134, 6.186209, 5.973810, 5.924256, 5.988961, 6.575076
nl29, i2, 69, 8, -1, 29, 5.872118, NaN, 6.265301, 6.244167, 6.025866, 6.025866, 5.993961, 5.888878
nl4, i12, 2, 0, 1, 28, 7.356280, 6.913737, 7.425358, 6.419995, 6.406880, 6.406880, 6.045005, 6.630683
nl4, i14, 5, 1, 1, 28, 7.287561, 6.997596, 6.218600, 7.415777, 7.516433, 6.393591, 7.140453, 6.495266
nl4, i7, 7, 2, -1, 28, 6.530878, NaN, 8.239857, 6.265301, 7.140453, 6.135565, 6.202536, 6.082219
nl4, i1, 9, 2, -1, 28, 6.218600, NaN, 6.366470, 6.082219, 6.495266, 6.249975, 6.025866, 6.202536
nl4, i9, 11, 2, -1, 28, 6.459904, NaN, 6.641182, 6.025866, 6.006353, 6.025866, 5.945421, 5.966147
nl4, i16, 13, 2, 1, 28, 6.186209, 6.630683, 6.393591, 6.587550, 7.219642, 6.202536, 5.945421, 6.152733
nl4, i5, 32, 3, -1, 28, 6.045005, NaN, 6.118097, 6.759255, 6.419995, 6.118097, 6.063785, 6.202536
nl4, i4, 36, 3, 1, 28, 6.045005, 6.133398, 6.120297, 6.045005, 7.054450, 6.280396, 5.945421, 5.986452
nl4, i2, 42, 4, 1, 28, 5.986452, 6.929517, 5.986452, 6.576470, 7.453562, 6.169611, 5.902633, 6.045005
nl4, i11, 44, 5, -1, 28, 6.063785, NaN, 6.135565, 6.169611, 6.749931, 6.082219, 6.100319, 6.393591
nl4, i13, 50, 5, -1, 28, 6.352629, NaN, 6.218600, 6.368187, 6.202536, 5.986452, 6.118097, 6.202536
nl4, i10, 55, 5, 1, 28, 6.186209, 6.118097, 6.804615, 7.361375, 6.905753, 6.082219, 5.924256, 6.063785
