"subj" "item" "cond" "pos" "resp" "rt" "roi"
"1326" 3 23 "a" "6" "-" 364 "post"
"1327" 3 23 "a" "7" "-" 464 "post"
"1328" 3 23 "a" "8" "-" 369 "post"
"1329" 3 23 "a" "9" "-" 522 "post"
"1330" 3 23 "a" "10" "-" 437 "post"
"1331" 3 23 "a" "?" "1" 4357 NA
"1342" 3 35 "a" "0" "-" 371 "predep"
"1343" 3 35 "a" "1" "-" 409 "dep"
"1344" 3 35 "a" "2" "-" 457 "precrit"
"1345" 3 35 "a" "3" "-" 414 "precrit"
"1346" 3 35 "a" "4" "-" 398 "crit"
"1347" 3 35 "a" "5" "-" 379 "postcrit"
"1348" 3 35 "a" "6" "-" 367 "post"
"1349" 3 35 "a" "7" "-" 354 "post"
"1350" 3 35 "a" "8" "-" 448 "post"
"1351" 3 35 "a" "9" "-" 418 "post"
"1352" 3 35 "a" "10" "-" 412 "post"
"1353" 3 35 "a" "11" "-" 378 "post"
"1354" 3 35 "a" "?" "1" 2618 NA
"1373" 3 27 "a" "0" "-" 411 "predep"
"1374" 3 27 "a" "1" "-" 484 "dep"
"1375" 3 27 "a" "2" "-" 409 "precrit"
"1376" 3 27 "a" "3" "-" 387 "precrit"
"1377" 3 27 "a" "4" "-" 414 "crit"
"1378" 3 27 "a" "5" "-" 393 "postcrit"
"1379" 3 27 "a" "6" "-" 366 "post"
"1380" 3 27 "a" "7" "-" 379 "post"
"1381" 3 27 "a" "8" "-" 383 "post"
"1382" 3 27 "a" "9" "-" 399 "post"
"1383" 3 27 "a" "?" "1" 2347 NA
"1393" 3 5 "c" "0" "-" 328 "predep"
"1394" 3 5 "c" "1" "-" 367 "dep"
"1395" 3 5 "c" "2" "-" 409 "precrit"
"1396" 3 5 "c" "3" "-" 346 "precrit"
"1397" 3 5 "c" "4" "-" 388 "crit"
"1398" 3 5 "c" "5" "-" 405 "postcrit"
"1399" 3 5 "c" "6" "-" 377 "post"
"1400" 3 5 "c" "7" "-" 335 "post"
"1401" 3 5 "c" "8" "-" 377 "post"
"1402" 3 5 "c" "9" "-" 403 "post"
"1403" 3 5 "c" "10" "-" 495 "post"
"1404" 3 5 "c" "?" "1" 1961 NA
"1436" 3 12 "b" "0" "-" 275 "predep"
"1437" 3 12 "b" "1" "-" 253 "dep"
"1438" 3 12 "b" "2" "-" 209 "precrit"
"1439" 3 12 "b" "3" "-" 220 "precrit"
"1440" 3 12 "b" "4" "-" 430 "precrit"
"1441" 3 12 "b" "5" "-" 254 "precrit"
"1442" 3 12 "b" "6" "-" 210 "crit"
"1443" 3 12 "b" "7" "-" 212 "postcrit"
"1444" 3 12 "b" "8" "-" 185 "post"
"1445" 3 12 "b" "9" "-" 220 "post"
"1446" 3 12 "b" "10" "-" 201 "post"
"1447" 3 12 "b" "?" "0" 1451 NA
"1458" 3 8 "b" "0" "-" 271 "predep"
"1459" 3 8 "b" "1" "-" 311 "dep"
"1460" 3 8 "b" "2" "-" 324 "precrit"
"1461" 3 8 "b" "3" "-" 306 "precrit"
"1462" 3 8 "b" "4" "-" 343 "precrit"
"1463" 3 8 "b" "5" "-" 319 "precrit"
"1464" 3 8 "b" "6" "-" 345 "crit"
"1465" 3 8 "b" "7" "-" 326 "postcrit"
"1466" 3 8 "b" "8" "-" 305 "post"
"1467" 3 8 "b" "9" "-" 319 "post"
"1468" 3 8 "b" "?" "1" 1502 NA
"1543" 4 9 "d" "0" "-" 363 "predep"
"1544" 4 9 "d" "1" "-" 371 "dep"
"1545" 4 9 "d" "2" "-" 403 "precrit"
"1546" 4 9 "d" "3" "-" 388 "precrit"
"1547" 4 9 "d" "4" "-" 407 "precrit"
"1548" 4 9 "d" "5" "-" 411 "precrit"
"1549" 4 9 "d" "6" "-" 561 "crit"
"1550" 4 9 "d" "7" "-" 459 "postcrit"
"1551" 4 9 "d" "8" "-" 441 "post"
"1552" 4 9 "d" "9" "-" 478 "post"
"1553" 4 9 "d" "10" "-" 668 "post"
"1554" 4 9 "d" "11" "-" 650 "post"
"1555" 4 9 "d" "?" "1" 2408 NA
"1566" 4 8 "c" "0" "-" 348 "predep"
"1567" 4 8 "c" "1" "-" 260 "dep"
"1568" 4 8 "c" "2" "-" 392 "precrit"
"1569" 4 8 "c" "3" "-" 544 "precrit"
"1570" 4 8 "c" "4" "-" 583 "crit"
"1571" 4 8 "c" "5" "-" 350 "postcrit"
"1572" 4 8 "c" "6" "-" 359 "post"
"1573" 4 8 "c" "7" "-" 391 "post"
"1574" 4 8 "c" "8" "-" 436 "post"
"1575" 4 8 "c" "9" "-" 413 "post"
