"word_position"	"item"	"word"	"type_freq"
25	54	"ihn"	1082.59301112
26	54	"sehr"	777.19658507
27	54	"betrübte"	0.277952685864
1	55	"Weil"	49.4755780837
2	55	"er"	4943.65829569
3	55	"keinen"	234.199663077
4	55	"großen"	388.406178179
5	55	"Hunger"	22.0645382102
6	55	"verspürte"	2.47704893579
7	55	"beschloss"	0.956484242531
8	55	"Martin"	42.902814571
9	55	"Kunze"	1.50421453526
10	55	"lediglich"	67.8368055087
11	55	"ein"	4999.44503476
12	55	"kleines"	42.0199060394
13	55	"Steak"	0.351528396828
14	55	"zum"	1651.97908812
15	55	"Mittagessen"	8.87813578965
16	55	"zu"	8897.95218113
17	55	"verspeisen"	0.670356477671
18	55	"was"	1190.99455861
19	55	"ihm"	1297.73656506
20	55	"auch"	3657.70201947
21	55	"überaus"	21.2388552316
22	55	"gut"	350.719064007
23	55	"bekam"	44.6114060811
1	56	"Durch"	118.816598128
2	56	"gezieltes"	0.228902211888
3	56	"Abfeuern"	0.147151421928
4	56	"seines"	233.905360233
5	56	"bewährten"	4.84782184462
6	56	"Gewehrs"	0.24525236988
7	56	"erlegte"	0.498679818756
8	56	"der"	26530.3631386
9	56	"greise"	1.56144008823
10	56	"Jäger"	14.1755869791
11	56	"im"	4320.93800333
12	56	"umzäunten"	0.196201895904
13	56	"Gehege"	1.2262618494
14	56	"eine"	4602.28334698
15	56	"ganze"	257.040833792
16	56	"Herde"	7.12866888451
17	56	"von"	7955.34104766
18	56	"gutgewachsenen"	0.049050473976
19	56	"Hirschen"	0.817507899599
20	56	"was"	1190.99455861
21	56	"dem"	5616.24656993
22	56	"Gutsbesitzer"	2.30537227687
23	56	"durchaus"	112.61171317
24	56	"nicht"	6717.74853877
25	56	"ungelegen"	0.743932188635
26	56	"kam"	375.072624336
1	57	"Nachdem"	49.8271064806
2	57	"sie"	4963.73628971
3	57	"schon"	1088.25016579
4	57	"lange"	267.406833959
5	57	"mit"	6389.55999248
6	57	"einem"	1790.34230012
7	57	"kleinen"	222.337623454
8	57	"grünen"	22.7757700828
9	57	"Polo"	0.654006319679
10	57	"durch"	2302.17582098
11	57	"die"	24520.1275636
12	57	"Gegend"	30.69742163
13	57	"gefahren"	19.7182905383
14	57	"war"	3092.73866021
15	57	"beschloss"	0.956484242531
16	57	"Katrin"	2.19909624992
17	57	"Helbig"	1.24261200739
18	57	"nun"	611.471383663
19	57	"die"	24520.1275636
20	57	"Anschaffung"	3.30273191438
21	57	"eines"	996.591180085
22	57	"roten"	38.1367435163
23	57	"Lastwagens"	0.28612776486
