subject	item	cloze	segment	lab	base100	base200	base500	filt01	prestim
birm04	103	39	20	birm	3.07	-8.0399	-9.1191	1.72	15.1665
birm04	128	36	21	birm	-10.85	-10.1371	-8.1193	-12.35	-3.4626
birm04	131	11	22	birm	-0.43	4.0450	3.2229	-1.01	-4.563
birm04	132	0	23	birm	-5.82	-13.7814	-23.7040	-1.52	22.2016
birm04	133	73	24	birm	27.74	25.5730	13.5363	25.63	17.6408
birm04	127	27	25	birm	21.68	16.0846	13.1306	23.37	10.6045
birm04	134	95	26	birm	-5.29	-4.1316	-0.8877	-2.93	-5.5286
birm04	125	59	27	birm	-22.04	-19.4148	-18.0898	-20.37	-4.8899
birm04	138	93	28	birm	28.10	22.8792	12.4660	28.91	19.3706
birm04	135	5	29	birm	-0.21	1.8190	-1.1416	6.00	1.1866
birm04	139	2	30	birm	-22.23	-18.9967	-8.7657	-19.94	-16.7885
birm04	130	77	31	birm	-3.59	-7.6635	-1.4006	-0.75	-2.6434
birm04	122	52	32	birm	-3.76	-9.8490	-4.8786	-4.60	1.3856
birm04	126	84	33	birm	-4.71	-1.8839	-1.5385	-6.07	-3.9559
birm04	136	2	34	birm	13.68	15.2002	8.0909	12.86	6.8928
birm04	124	0	35	birm	6.32	3.5470	-1.6717	4.60	9.9387
birm04	137	82	36	birm	12.85	12.0721	3.4268	13.79	11.7342
birm04	121	60	37	birm	4.13	5.5520	-3.9125	4.14	9.9889
birm04	129	66	38	birm	1.70	4.7943	-4.6055	9.13	7.767
birm04	140	0	39	birm	0.58	0.6141	-2.0100	5.72	3.2393
birm04	123	0	40	birm	9.53	0.6847	-4.7226	12.70	17.7483
birm04	151	25	41	birm	7.55	7.0241	6.0100	9.48	1.9529
birm04	155	25	42	birm	-5.86	-0.4621	-0.7826	-3.19	-6.3349
birm04	153	70	43	birm	-33.95	-31.8611	-34.8402	-35.00	1.0942
birm04	154	93	44	birm	12.41	11.0674	11.0622	15.33	1.7309
birm04	159	16	45	birm	0.66	1.1557	0.0812	1.54	0.6884
birm04	157	34	46	birm	-13.70	-15.7106	-17.6994	-14.02	4.9578
birm04	150	27	47	birm	-6.02	-9.8928	-11.6408	-7.18	7.0269
birm04	160	0	48	birm	-2.19	4.1407	7.0575	0.19	-11.4786
birm04	145	73	49	birm	-9.35	-10.6601	-8.0392	-10.44	-1.683
birm04	141	91	50	birm	10.67	8.3340	10.9237	12.89	-0.3431
birm04	156	0	51	birm	-3.02	-6.1411	-8.1947	-2.42	6.3695
birm04	148	0	52	birm	25.78	28.8182	24.0938	23.08	2.0958
birm04	152	5	53	birm	-0.99	-4.9788	-11.5402	2.46	13.1277
birm04	158	66	54	birm	15.06	11.9545	3.4260	15.38	14.5141
birm04	144	0	55	birm	4.14	3.4583	-3.2274	5.61	9.1592
birm04	142	91	56	birm	12.10	11.3471	2.0039	13.51	12.5616
birm04	149	20	57	birm	-17.53	-9.8423	-4.2006	-16.00	-16.5106
birm04	147	7	58	birm	9.61	11.1476	6.8992	9.52	3.3629
birm04	143	2	59	birm	-1.90	1.8263	-0.5280	-2.42	-1.7336
birm04	146	82	60	birm	11.72	12.8472	7.0142	13.77	5.8265
birm04	167	14	61	birm	-0.89	-0.4666	-0.0538	-3.18	-1.0618
birm04	178	75	62	birm	-21.11	-13.6746	-6.5405	-21.22	-18.1571
birm04	164	11	63	birm	13.91	19.7122	13.5622	14.47	0.4128
birm04	168	18	64	birm	-11.09	-3.2252	-3.9007	-8.55	-9.0112
birm04	174	80	65	birm	6.58	6.9271	7.6726	10.32	-1.3787
birm04	177	70	66	birm	14.75	14.8103	11.8691	17.49	3.4683
birm04	175	30	67	birm	5.49	14.3682	1.5409	8.77	4.8571
birm04	162	98	68	birm	26.77	21.0608	11.5318	29.17	18.9277
birm04	172	0	69	birm	-13.72	-7.0534	1.2612	-13.34	-18.6461
birm04	179	0	70	birm	2.17	6.0779	2.9409	3.03	-0.9536
birm04	169	73	71	birm	4.27	-0.3931	-5.2075	6.44	11.784
birm04	176	0	72	birm	-2.72	-3.4415	-11.4193	-2.79	10.7836
birm04	163	25	73	birm	-2.39	1.8401	7.8748	-3.65	-12.7534
birm04	170	68	74	birm	-7.68	-5.4425	-10.7776	-5.45	3.8508
birm04	180	5	75	birm	-6.38	-8.9583	-8.7799	-5.45	2.9892
birm04	171	0	76	birm	3.42	4.3237	3.8230	5.88	-0.512
birm04	173	77	77	birm	-8.32	-4.5401	5.7959	-7.30	-17.5811
birm04	161	70	78	birm	-4.56	-4.0343	-6.3631	-2.82	2.2951
birm04	165	73	79	birm	15.22	11.6234	7.1607	14.90	10.0331
birm04	166	100	80	birm	10.46	7.2792	9.7187	9.17	1.0685
birm05	120	75	1	birm	-14.29	-12.3618	-14.2140	-14.66	-0.1837
birm05	110	0	2	birm	-1.17	1.0208	2.1007	-0.48	-4.1059
birm05	115	59	3	birm	18.28	19.0937	14.0047	15.58	5.3042
birm05	118	0	4	birm	5.96	7.4778	6.7000	4.93	-0.9294
birm05	102	0	5	birm	-8.34	-6.6328	-2.3725	-8.20	-7.4844
birm05	116	75	6	birm	-5.08	-8.2556	-5.4693	-2.79	0.5327
birm05	108	61	7	birm	7.88	6.5753	2.1945	8.33	6.9962
birm05	111	84	8	birm	20.85	12.0052	16.0068	20.99	6.0678
birm05	117	20	9	birm	1.96	4.8627	7.4445	3.21	-6.8966
birm05	114	5	10	birm	-0.11	-0.0413	1.4670	-0.82	-1.9848
birm05	101	0	11	birm	11.17	9.3290	-0.2060	11.98	14.1521
birm05	119	98	12	birm	-5.43	-0.6237	-5.1335	-2.54	-0.4871
birm05	112	66	13	birm	2.43	3.1229	8.4683	-0.27	-7.5562
birm05	106	0	14	birm	25.77	29.3010	38.7132	22.44	-16.121
birm05	105	0	15	birm	10.70	7.5152	7.1018	9.31	4.4555
birm05	104	86	16	birm	14.59	4.2596	2.8209	16.43	14.6761
birm05	103	55	17	birm	5.50	3.3258	-1.7868	4.06	9.0252
birm05	113	36	18	birm	2.66	-0.3172	-7.7424	4.26	12.8894
birm05	107	77	19	birm	-14.28	-12.0809	-25.2174	-3.42	13.5879
